"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","dv","data_subset","file_prefix","p_fdr"
"baseline_fit",17,2316.00669887796,2412.66365091894,-1141.00334943898,2282.00669887796,NA,NA,NA,"baseline","response_correct_strict","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2317.87073612192,2420.21339122414,-1140.93536806096,2281.87073612192,0.135962756037316,1,0.712328031888155,"auc_entropy","response_correct_strict","all_trials","Llama-2-7b-hf",0.712328031888155
"critical_fit",18,2303.07900873451,2405.42166383673,-1133.53950436725,2267.07900873451,14.9276901434473,1,0.00011171123605886,"layer_biggest_change_entropy","response_correct_strict","all_trials","Llama-2-7b-hf",0.00022342247211772
"critical_fit",18,2274.49967544767,2376.84233054989,-1119.24983772384,2238.49967544767,43.5070234302848,1,4.22440490971983e-11,"auc_rank_correct","response_correct_strict","all_trials","Llama-2-7b-hf",5.0692858916638e-10
"critical_fit",18,2277.8711642139,2380.21381931612,-1120.93558210695,2241.8711642139,40.1355346640585,1,2.36939504061517e-10,"layer_biggest_change_rank_correct","response_correct_strict","all_trials","Llama-2-7b-hf",1.4216370243691e-09
"critical_fit",18,2281.47515293039,2383.81780803261,-1122.7375764652,2245.47515293039,36.5315459475628,1,1.50215390293973e-09,"auc_logprob_correct","response_correct_strict","all_trials","Llama-2-7b-hf",6.00861561175893e-09
"critical_fit",18,2290.02506015758,2392.3677152598,-1127.01253007879,2254.02506015758,27.9816387203805,1,1.22472036083969e-07,"layer_biggest_change_logprob_correct","response_correct_strict","all_trials","Llama-2-7b-hf",3.67416108251906e-07
"critical_fit",18,2316.24753476038,2418.5901898626,-1140.12376738019,2280.24753476038,1.75916411757407,1,0.18472881029435,"auc_logprobdiff_pos","response_correct_strict","all_trials","Llama-2-7b-hf",0.246305080392467
"critical_fit",18,2305.17816626483,2407.52082136705,-1134.58908313241,2269.17816626483,12.8285326131263,1,0.000341373372798619,"auc_logprobdiff_neg","response_correct_strict","all_trials","Llama-2-7b-hf",0.000585211496226204
"critical_fit",18,2317.3201799944,2419.66283509662,-1140.6600899972,2281.3201799944,0.686518883560439,1,0.407350967340544,"layer_biggest_change_logprobdiff","response_correct_strict","all_trials","Llama-2-7b-hf",0.488821160808653
"critical_fit",18,2317.79050639458,2420.1331614968,-1140.89525319729,2281.79050639458,0.216192483374016,1,0.641956496332538,"auc_boost_pos","response_correct_strict","all_trials","Llama-2-7b-hf",0.700316177817315
"critical_fit",18,2309.26279364329,2411.60544874551,-1136.63139682164,2273.26279364329,8.743905234669,1,0.00310638538161632,"auc_boost_neg","response_correct_strict","all_trials","Llama-2-7b-hf",0.00465957807242447
"critical_fit",18,2298.97333594818,2401.3159910504,-1131.48666797409,2262.97333594818,19.0333629297761,1,1.28452804943632e-05,"layer_argmax_boost","response_correct_strict","all_trials","Llama-2-7b-hf",3.08286731864717e-05
