"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","dv","data_subset","file_prefix","p_fdr"
"baseline_fit",12,2173.90755080042,2233.15531977511,-1074.95377540021,2149.90755080042,NA,NA,NA,"baseline","n_backspace","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit",13,2161.51713659294,2225.70221964885,-1067.75856829647,2135.51713659294,14.3904142074825,1,0.00014855662075188,"auc_entropy","n_backspace","filteredCorrect","Llama-2-70b-hf",0.00178267944902256
"critical_fit",13,2171.53435958777,2235.71944264368,-1072.76717979389,2145.53435958777,4.37319121265273,1,0.0365085588556947,"layer_biggest_change_entropy","n_backspace","filteredCorrect","Llama-2-70b-hf",0.0730171177113893
"critical_fit",13,2170.40601430496,2234.59109736087,-1072.20300715248,2144.40601430496,5.50153649546428,1,0.0189997722659825,"auc_rank_correct","n_backspace","filteredCorrect","Llama-2-70b-hf",0.0627709278873868
"critical_fit",13,2171.03743833855,2235.22252139446,-1072.51871916928,2145.03743833855,4.8701124618724,1,0.0273257195942248,"layer_biggest_change_rank_correct","n_backspace","filteredCorrect","Llama-2-70b-hf",0.0655817270261395
"critical_fit",13,2174.83995938057,2239.02504243648,-1074.41997969029,2148.83995938057,1.06759141985276,1,0.301490121404377,"auc_logprob_correct","n_backspace","filteredCorrect","Llama-2-70b-hf",0.401986828539169
"critical_fit",13,2172.24274592511,2236.42782898102,-1073.12137296256,2146.24274592511,3.66480487531044,1,0.0555731501452981,"layer_biggest_change_logprob_correct","n_backspace","filteredCorrect","Llama-2-70b-hf",0.0952682573919395
"critical_fit",13,2165.95759649352,2230.14267954943,-1069.97879824676,2139.95759649352,9.94995430690096,1,0.00160853390037901,"auc_logprobdiff_pos","n_backspace","filteredCorrect","Llama-2-70b-hf",0.00965120340227403
"critical_fit",13,2175.1085744023,2239.2936574582,-1074.55428720115,2149.1085744023,0.798976398127706,1,0.371399585953983,"auc_logprobdiff_neg","n_backspace","filteredCorrect","Llama-2-70b-hf",0.405163184677073
"critical_fit",13,2170.57440968133,2234.75949273724,-1072.28720484067,2144.57440968133,5.33314111908885,1,0.0209236426291289,"layer_biggest_change_logprobdiff","n_backspace","filteredCorrect","Llama-2-70b-hf",0.0627709278873868
"critical_fit",13,2175.09299945309,2239.27808250899,-1074.54649972654,2149.09299945309,0.814551347336874,1,0.366778055585877,"auc_boost_pos","n_backspace","filteredCorrect","Llama-2-70b-hf",0.405163184677073
"critical_fit",13,2175.37003512392,2239.55511817982,-1074.68501756196,2149.37003512392,0.537515676507155,1,0.463464138149736,"auc_boost_neg","n_backspace","filteredCorrect","Llama-2-70b-hf",0.463464138149736
"critical_fit",13,2173.04204748717,2237.22713054308,-1073.52102374359,2147.04204748717,2.86550331324952,1,0.0904973968048301,"layer_argmax_boost","n_backspace","filteredCorrect","Llama-2-70b-hf",0.135746095207245
