"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","dv","data_subset","file_prefix","p_fdr"
"baseline_fit",17,1116.24603449541,1198.96618276843,-541.123017247707,1082.24603449541,NA,NA,NA,"baseline","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit",18,1117.23153056228,1204.81756991018,-540.615765281141,1081.23153056228,1.01450393313075,1,0.313826248605777,"auc_entropy","response_correct","all_trials","Llama-2-13b-hf",0.383565414962616
"critical_fit",18,1113.7955446753,1201.38158402321,-538.897772337652,1077.7955446753,4.4504898201094,1,0.0348912376228473,"layer_biggest_change_entropy","response_correct","all_trials","Llama-2-13b-hf",0.12793453795044
"critical_fit",18,1115.7287348398,1203.3147741877,-539.8643674199,1079.7287348398,2.51729965561299,1,0.112603260618811,"auc_rank_correct","response_correct","all_trials","Llama-2-13b-hf",0.247727173361385
"critical_fit",18,1118.15821238899,1205.74425173689,-541.079106194494,1082.15821238899,0.0878221064263016,1,0.76696437209314,"layer_biggest_change_rank_correct","response_correct","all_trials","Llama-2-13b-hf",0.76696437209314
"critical_fit",18,1118.1545745531,1205.740613901,-541.07728727655,1082.1545745531,0.0914599423138043,1,0.762329281647983,"auc_logprob_correct","response_correct","all_trials","Llama-2-13b-hf",0.76696437209314
"critical_fit",18,1116.02808770186,1203.61412704976,-540.01404385093,1080.02808770186,2.21794679355253,1,0.136414370045649,"auc_logprobdiff_pos","response_correct","all_trials","Llama-2-13b-hf",0.249436981044359
"critical_fit",18,1116.96273313301,1204.54877248091,-540.481366566506,1080.96273313301,1.28330136240083,1,0.257286104080326,"auc_logprobdiff_neg","response_correct","all_trials","Llama-2-13b-hf",0.353768393110448
"critical_fit",18,1114.43240643715,1202.01844578506,-539.216203218577,1078.43240643715,3.81362805825893,1,0.0508372220556647,"layer_biggest_change_logprobdiff","response_correct","all_trials","Llama-2-13b-hf",0.139802360653078
"critical_fit",18,1112.80076073254,1200.38680008044,-538.40038036627,1076.80076073254,5.4452737628726,1,0.0196213397030088,"auc_boost_pos","response_correct","all_trials","Llama-2-13b-hf",0.107917368366548
"critical_fit",18,1112.74387792345,1200.32991727135,-538.371938961725,1076.74387792345,5.50215657196418,1,0.0189930364485151,"auc_boost_neg","response_correct","all_trials","Llama-2-13b-hf",0.107917368366548
"critical_fit",18,1116.25977587929,1203.84581522719,-540.129887939645,1080.25977587929,1.98625861612254,1,0.158732624300956,"layer_argmax_boost","response_correct","all_trials","Llama-2-13b-hf",0.249436981044359
