"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","dv","data_subset","file_prefix","p_fdr"
"baseline_fit",18,884.018088031518,963.607288852036,-424.009044015759,848.018088031518,NA,NA,NA,"baseline","rt","filteredCorrect","Llama-2-13b-hf",NA
"critical_fit",19,886.004702319536,970.015525407859,-424.002351159768,848.004702319536,0.0133857119826644,1,0.907892971058749,"auc_entropy","rt","filteredCorrect","Llama-2-13b-hf",0.907892971058749
"critical_fit",19,883.368605907716,967.37942899604,-422.684302953858,845.368605907716,2.64948212380193,1,0.103583636585129,"layer_biggest_change_entropy","rt","filteredCorrect","Llama-2-13b-hf",0.472561202891331
"critical_fit",19,885.315188416325,969.326011504648,-423.657594208162,847.315188416325,0.702899615193701,1,0.401811093451164,"auc_rank_correct","rt","filteredCorrect","Llama-2-13b-hf",0.55249025349535
"critical_fit",19,885.974908779093,969.985731867417,-423.987454389546,847.974908779093,0.0431792524254888,1,0.835388115427996,"layer_biggest_change_rank_correct","rt","filteredCorrect","Llama-2-13b-hf",0.907892971058749
"critical_fit",19,885.606529415283,969.617352503607,-423.803264707642,847.606529415283,0.411558616235084,1,0.521179471598473,"auc_logprob_correct","rt","filteredCorrect","Llama-2-13b-hf",0.636997131953689
"critical_fit",19,884.737343542888,968.748166631212,-423.368671771444,846.737343542888,1.28074448863026,1,0.257760656122544,"auc_logprobdiff_pos","rt","filteredCorrect","Llama-2-13b-hf",0.472561202891331
"critical_fit",19,884.241882231761,968.252705320085,-423.120941115881,846.241882231761,1.77620579975678,1,0.182615923424076,"auc_logprobdiff_neg","rt","filteredCorrect","Llama-2-13b-hf",0.472561202891331
"critical_fit",19,884.593593879348,968.604416967672,-423.296796939674,846.593593879348,1.4244941521705,1,0.232665101760549,"layer_biggest_change_logprobdiff","rt","filteredCorrect","Llama-2-13b-hf",0.472561202891331
"critical_fit",19,883.716247138856,967.72707022718,-422.858123569428,845.716247138856,2.30184089266243,1,0.129220766916906,"auc_boost_pos","rt","filteredCorrect","Llama-2-13b-hf",0.472561202891331
"critical_fit",19,885.017291564503,969.028114652827,-423.508645782252,847.017291564503,1.00079646701488,1,0.317117862879957,"auc_boost_neg","rt","filteredCorrect","Llama-2-13b-hf",0.498328070239933
"critical_fit",19,881.961843712753,965.972666801077,-421.980921856376,843.961843712753,4.05624431876538,1,0.0440082740768898,"layer_argmax_boost","rt","filteredCorrect","Llama-2-13b-hf",0.472561202891331
