"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.59330724738538,"auc_entropy","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.71673313889551,"auc_entropy","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.56271398056924,"layer_biggest_change_entropy","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.80114411510658,"layer_biggest_change_entropy","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.00330277803005,"auc_rank_correct","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.4415319200416,"auc_rank_correct","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.81588265943356,"layer_biggest_change_rank_correct","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.02271928596747,"layer_biggest_change_rank_correct","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.14598723030213,"auc_logprob_correct","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.18186893113307,"auc_logprob_correct","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.42353878269932,"layer_biggest_change_logprob_correct","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.75973894341587,"layer_biggest_change_logprob_correct","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_logprobdiff_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.20679179283616,"auc_logprobdiff_pos","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_logprobdiff_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.73967240107231,"auc_logprobdiff_pos","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_logprobdiff_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.52124421829649,"auc_logprobdiff_neg","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_logprobdiff_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.75111565198677,"auc_logprobdiff_neg","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_logprobdiff + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.9744595052689,"layer_biggest_change_logprobdiff","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_logprobdiff + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.73109668018151,"layer_biggest_change_logprobdiff","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_boosting_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.77029820533426,"auc_boosting_pos","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_boosting_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.49727820448243,"auc_boosting_pos","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_boosting_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.46092448709533,"auc_boosting_neg","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_boosting_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.29690509666761,"auc_boosting_neg","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","layer_argmax_boosting + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.45822310045332,"layer_argmax_boosting","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","layer_argmax_boosting + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.26990176807521,"layer_argmax_boosting","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
