"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.48107324633384,"auc_entropy","baseline_final","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.29417308876145,"auc_entropy","baseline_midpoint","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.7351641507521,"layer_biggest_change_entropy","baseline_final","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.58657876244615,"layer_biggest_change_entropy","baseline_midpoint","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.39482085320196,"auc_rank_correct","baseline_final","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.63434310422599,"auc_rank_correct","baseline_midpoint","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.53743290635612,"layer_biggest_change_rank_correct","baseline_final","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.20779046187818,"layer_biggest_change_rank_correct","baseline_midpoint","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.41977436707384,"auc_logprob_correct","baseline_final","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.3919368736133,"auc_logprob_correct","baseline_midpoint","AUC","filteredCorrect","OLMo-2-1124-13B",NA
