"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.68088472155432,"auc_entropy","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.59262832426248,"auc_entropy","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.22350414918401,"layer_biggest_change_entropy","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.86246427896549,"layer_biggest_change_entropy","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.33061006369462,"auc_rank_correct","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.18315394229285,"auc_rank_correct","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.938414839303732,"layer_biggest_change_rank_correct","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.00051246698422,"layer_biggest_change_rank_correct","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.483989827909681,"auc_logprob_correct","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.3321033878965,"auc_logprob_correct","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.88179284271246,"layer_biggest_change_logprob_correct","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.47109201979765,"layer_biggest_change_logprob_correct","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.19030809378455,"auc_logprobdiff_pos","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.19850769258119,"auc_logprobdiff_pos","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.10316062562924,"auc_logprobdiff_neg","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.95816382537669,"auc_logprobdiff_neg","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprobdiff + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.92881167815722,"layer_biggest_change_logprobdiff","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprobdiff + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.7093915695441,"layer_biggest_change_logprobdiff","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.82045704935808,"auc_boosting_pos","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.60496184403746,"auc_boosting_pos","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.43962313184238,"auc_boosting_neg","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.69065036500979,"auc_boosting_neg","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_argmax_boosting + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.635883236740483,"layer_argmax_boosting","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_argmax_boosting + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.77190080442961,"layer_argmax_boosting","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_magnitude + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.76169867822682,"twostage_magnitude","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_magnitude + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.65050957462881,"twostage_magnitude","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_magnitude_latter34 + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.54106838697771,"twostage_magnitude_latter34","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_magnitude_latter34 + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.82170548336217,"twostage_magnitude_latter34","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_layer + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.40718660306811,"twostage_layer","baseline_final","AUC","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_layer + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.77732870120235,"twostage_layer","baseline_midpoint","AUC","filteredCorrect","gemma-2-27b",NA
