"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","AUC","filteredCorrect","gpt2",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.450441450760991,"auc_entropy","baseline_final","AUC","filteredCorrect","gpt2",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","AUC","filteredCorrect","gpt2",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.24232878625116,"auc_entropy","baseline_midpoint","AUC","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.965329911152367,"layer_biggest_change_entropy","baseline_final","AUC","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.70311110702823,"layer_biggest_change_entropy","baseline_midpoint","AUC","filteredCorrect","gpt2",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.7725110809115,"auc_rank_correct","baseline_final","AUC","filteredCorrect","gpt2",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.93728164235654,"auc_rank_correct","baseline_midpoint","AUC","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.76124915525725,"layer_biggest_change_rank_correct","baseline_final","AUC","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.58759275043485,"layer_biggest_change_rank_correct","baseline_midpoint","AUC","filteredCorrect","gpt2",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.77360642052008,"auc_logprob_correct","baseline_final","AUC","filteredCorrect","gpt2",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.81126981492707,"auc_logprob_correct","baseline_midpoint","AUC","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.28288901969063,"layer_biggest_change_logprob_correct","baseline_final","AUC","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.9615015759955,"layer_biggest_change_logprob_correct","baseline_midpoint","AUC","filteredCorrect","gpt2",NA
"critical_fit","auc_logprobdiff_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.39025250109626,"auc_logprobdiff_pos","baseline_final","AUC","filteredCorrect","gpt2",NA
"critical_fit","auc_logprobdiff_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.52051820258566,"auc_logprobdiff_pos","baseline_midpoint","AUC","filteredCorrect","gpt2",NA
"critical_fit","auc_logprobdiff_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.77050474866337,"auc_logprobdiff_neg","baseline_final","AUC","filteredCorrect","gpt2",NA
"critical_fit","auc_logprobdiff_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.34779527060527,"auc_logprobdiff_neg","baseline_midpoint","AUC","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_logprobdiff + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.04005735157261,"layer_biggest_change_logprobdiff","baseline_final","AUC","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_logprobdiff + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.55719596283598,"layer_biggest_change_logprobdiff","baseline_midpoint","AUC","filteredCorrect","gpt2",NA
