"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.31332472601753,"auc_entropy","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.77439032788607,"auc_entropy","baseline_midpoint","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.70012673073143,"layer_biggest_change_entropy","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.44243160374754,"layer_biggest_change_entropy","baseline_midpoint","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.69866528620878,"auc_rank_correct","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.3255155153638,"auc_rank_correct","baseline_midpoint","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.41469425083596,"layer_biggest_change_rank_correct","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.29775044763483,"layer_biggest_change_rank_correct","baseline_midpoint","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.778736450422,"auc_logprob_correct","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.67710133750734,"auc_logprob_correct","baseline_midpoint","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_biggest_change_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.36894807907265,"layer_biggest_change_logprob_correct","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_biggest_change_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.65729178885886,"layer_biggest_change_logprob_correct","baseline_midpoint","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_logprobdiff_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.74054892342792,"auc_logprobdiff_pos","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_logprobdiff_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.55585407215221,"auc_logprobdiff_pos","baseline_midpoint","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_logprobdiff_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.54449779461902,"auc_logprobdiff_neg","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_logprobdiff_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.36053162020289,"auc_logprobdiff_neg","baseline_midpoint","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_biggest_change_logprobdiff + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.76881453862916,"layer_biggest_change_logprobdiff","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_biggest_change_logprobdiff + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.8985342228807,"layer_biggest_change_logprobdiff","baseline_midpoint","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_boosting_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.21591615564284,"auc_boosting_pos","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_boosting_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.91890757692454,"auc_boosting_pos","baseline_midpoint","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_boosting_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.75924668929292,"auc_boosting_neg","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_boosting_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.08373400394885,"auc_boosting_neg","baseline_midpoint","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_argmax_boosting + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.67629622378081,"layer_argmax_boosting","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_argmax_boosting + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.75849021929207,"layer_argmax_boosting","baseline_midpoint","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","twostage_magnitude + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.68018294021931,"twostage_magnitude","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","twostage_magnitude + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.62402863783245,"twostage_magnitude","baseline_midpoint","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","twostage_magnitude_latter34 + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.36044211835178,"twostage_magnitude_latter34","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","twostage_magnitude_latter34 + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.29813749087953,"twostage_magnitude_latter34","baseline_midpoint","MAD","filteredCorrect","Falcon3-10B-Base",NA
"critical_fit","twostage_layer + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.55058670768449,"twostage_layer","baseline_final","MAD","filteredCorrect","Falcon3-10B-Base",NA
