"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.73168183654525,"auc_entropy","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.66508284185875,"auc_entropy","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.294178619838931,"layer_biggest_change_entropy","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",3.59445406556188,"layer_biggest_change_entropy","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.56387592626743,"auc_rank_correct","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.47526162886606,"auc_rank_correct","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.23687481711022,"layer_biggest_change_rank_correct","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.75798641943038,"layer_biggest_change_rank_correct","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.74195395410061,"auc_logprob_correct","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.75690989661962,"auc_logprob_correct","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.73793001150261,"layer_biggest_change_logprob_correct","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.07456826386624,"layer_biggest_change_logprob_correct","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_logprobdiff_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.28982899268885,"auc_logprobdiff_pos","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_logprobdiff_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.701802472593045,"auc_logprobdiff_pos","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_logprobdiff_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.961651054711183,"auc_logprobdiff_neg","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_logprobdiff_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.47300838470437,"auc_logprobdiff_neg","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_logprobdiff + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.48941969838961,"layer_biggest_change_logprobdiff","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_logprobdiff + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.593546465859617,"layer_biggest_change_logprobdiff","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_boosting_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.423787690860991,"auc_boosting_pos","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_boosting_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",5.18384541210435,"auc_boosting_pos","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_boosting_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.54177244587117,"auc_boosting_neg","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_boosting_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",1.59304846413943,"auc_boosting_neg","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
