"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","MAD","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.60889901255905,"auc_entropy","baseline_final","MAD","filteredCorrect","OLMo-2-0325-32B",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","MAD","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.69094744090035,"auc_entropy","baseline_midpoint","MAD","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.87153262887841,"layer_biggest_change_entropy","baseline_final","MAD","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.74510413299322,"layer_biggest_change_entropy","baseline_midpoint","MAD","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.06070589791489,"auc_rank_correct","baseline_final","MAD","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.6741152694467,"auc_rank_correct","baseline_midpoint","MAD","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.72612755386217,"layer_biggest_change_rank_correct","baseline_final","MAD","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.75052746454458,"layer_biggest_change_rank_correct","baseline_midpoint","MAD","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.94429708393909,"auc_logprob_correct","baseline_final","MAD","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.51969324088896,"auc_logprob_correct","baseline_midpoint","MAD","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_biggest_change_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.88078819203838,"layer_biggest_change_logprob_correct","baseline_final","MAD","filteredCorrect","OLMo-2-0325-32B",NA
