"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",3.07982454027297,"auc_entropy","baseline_final","MAD","filteredCorrect","gpt2",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.55825426675619,"auc_entropy","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",4.13116630465265,"layer_biggest_change_entropy","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.80334929868332,"layer_biggest_change_entropy","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.76509479814922,"auc_rank_correct","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.290794723254294,"auc_rank_correct","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.7496766851018,"layer_biggest_change_rank_correct","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.68606734030982,"layer_biggest_change_rank_correct","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.77868250072788,"auc_logprob_correct","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.462131757667521,"auc_logprob_correct","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.05059529051141,"layer_biggest_change_logprob_correct","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.2482076999313,"layer_biggest_change_logprob_correct","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit","auc_logprobdiff_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.05251370256883,"auc_logprobdiff_pos","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit","auc_logprobdiff_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.60089914252239,"auc_logprobdiff_pos","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit","auc_logprobdiff_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.638932983269115,"auc_logprobdiff_neg","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit","auc_logprobdiff_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.571134019919555,"auc_logprobdiff_neg","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_logprobdiff + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.83594832635754,"layer_biggest_change_logprobdiff","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit","layer_biggest_change_logprobdiff + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.59904205629027,"layer_biggest_change_logprobdiff","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit","auc_boosting_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.76326185575454,"auc_boosting_pos","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit","auc_boosting_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.45128582035613,"auc_boosting_pos","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit","auc_boosting_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.56062564234162,"auc_boosting_neg","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit","auc_boosting_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.41581803868576,"auc_boosting_neg","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit","layer_argmax_boosting + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.0760360536969529,"layer_argmax_boosting","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit","layer_argmax_boosting + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.6391937294211,"layer_argmax_boosting","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit","twostage_magnitude + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.766131980381033,"twostage_magnitude","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit","twostage_magnitude + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.106217295719034,"twostage_magnitude","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit","twostage_magnitude_latter34 + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.12918378341601,"twostage_magnitude_latter34","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit","twostage_magnitude_latter34 + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.131856046327812,"twostage_magnitude_latter34","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
"critical_fit","twostage_layer + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.9449044534249,"twostage_layer","baseline_final","MAD","filteredCorrect","gpt2",NA
"critical_fit","twostage_layer + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.74566934025643,"twostage_layer","baseline_midpoint","MAD","filteredCorrect","gpt2",NA
