"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","RT","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.28256099317093,"auc_entropy","baseline_final","RT","filteredCorrect","Falcon3-1B-Base",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","RT","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",37.5073406804814,"auc_entropy","baseline_midpoint","RT","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.25004553706594,"layer_biggest_change_entropy","baseline_final","RT","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",32.5116677968172,"layer_biggest_change_entropy","baseline_midpoint","RT","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.5151404461318,"auc_rank_correct","baseline_final","RT","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",3.61411377126842,"auc_rank_correct","baseline_midpoint","RT","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.05188814890755,"layer_biggest_change_rank_correct","baseline_final","RT","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.67151301704814,"layer_biggest_change_rank_correct","baseline_midpoint","RT","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.4984238464441,"auc_logprob_correct","baseline_final","RT","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",10.4514697412575,"auc_logprob_correct","baseline_midpoint","RT","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.09413648192356,"layer_biggest_change_logprob_correct","baseline_final","RT","filteredCorrect","Falcon3-1B-Base",NA
