"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","RT","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.91837802279406,"auc_entropy","baseline_final","RT","filteredCorrect","Llama-3.1-405B",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","RT","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",46.6900238756698,"auc_entropy","baseline_midpoint","RT","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.332188784218033,"layer_biggest_change_entropy","baseline_final","RT","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",56.4640989383286,"layer_biggest_change_entropy","baseline_midpoint","RT","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.05620252142012,"auc_rank_correct","baseline_final","RT","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.03817661211679,"auc_rank_correct","baseline_midpoint","RT","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.49730331897752,"layer_biggest_change_rank_correct","baseline_final","RT","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.323055647723777,"layer_biggest_change_rank_correct","baseline_midpoint","RT","filteredCorrect","Llama-3.1-405B",NA
