"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","RT","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.9853957449385,"auc_entropy","baseline_final","RT","filteredCorrect","OLMo-2-1124-13B",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","RT","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",2.39954683250289,"auc_entropy","baseline_midpoint","RT","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",3.90732145524737,"layer_biggest_change_entropy","baseline_final","RT","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.72245726805772,"layer_biggest_change_entropy","baseline_midpoint","RT","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",15.7539370452786,"auc_rank_correct","baseline_final","RT","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",4.53342625155051,"auc_rank_correct","baseline_midpoint","RT","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",9.34269792531325,"layer_biggest_change_rank_correct","baseline_final","RT","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.92733952033177,"layer_biggest_change_rank_correct","baseline_midpoint","RT","filteredCorrect","OLMo-2-1124-13B",NA
