"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",7.88709622883334,"auc_entropy","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",19.8446653391022,"auc_entropy","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.38224066862449,"layer_biggest_change_entropy","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",50.2239093483316,"layer_biggest_change_entropy","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.16192251004804,"auc_rank_correct","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",62.4519571246165,"auc_rank_correct","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.65416786592687,"layer_biggest_change_rank_correct","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",54.5807706744794,"layer_biggest_change_rank_correct","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",3.90836487074375,"auc_logprob_correct","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",61.1676328967299,"auc_logprob_correct","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.92233468372069,"layer_biggest_change_logprob_correct","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.35045924070619,"layer_biggest_change_logprob_correct","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.61512903438916,"auc_logprobdiff_pos","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",52.2066987197074,"auc_logprobdiff_pos","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.555822096398629,"auc_logprobdiff_neg","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",52.2293272133585,"auc_logprobdiff_neg","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprobdiff + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.36707342450302,"layer_biggest_change_logprobdiff","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprobdiff + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",55.5223688080619,"layer_biggest_change_logprobdiff","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.77760860337764,"auc_boosting_pos","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",63.9648126964547,"auc_boosting_pos","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",9.47918184792911,"auc_boosting_neg","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",16.2997054330541,"auc_boosting_neg","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_argmax_boosting + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.00012629190473,"layer_argmax_boosting","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_argmax_boosting + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.0822586315114222,"layer_argmax_boosting","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_magnitude + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.86007418271936,"twostage_magnitude","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_magnitude + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",49.1184170065885,"twostage_magnitude","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_magnitude_latter34 + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.86762516192653,"twostage_magnitude_latter34","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_magnitude_latter34 + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",29.7886187199172,"twostage_magnitude_latter34","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_layer + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.4954794676712,"twostage_layer","baseline_final","RT","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_layer + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",26.4590459648791,"twostage_layer","baseline_midpoint","RT","filteredCorrect","gemma-2-27b",NA
