"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",4.34222448757203,"auc_entropy","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",43.5020551815987,"auc_entropy","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.76681898209597,"layer_biggest_change_entropy","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",47.2487983273197,"layer_biggest_change_entropy","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.70823150675585,"auc_rank_correct","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",32.1133115231374,"auc_rank_correct","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.04589890929446,"layer_biggest_change_rank_correct","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",3.06229910448883,"layer_biggest_change_rank_correct","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.18685516932624,"auc_logprob_correct","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",41.9636646457341,"auc_logprob_correct","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_biggest_change_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.48714603471694,"layer_biggest_change_logprob_correct","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_biggest_change_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",40.9346996251998,"layer_biggest_change_logprob_correct","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_logprobdiff_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.79479197120463,"auc_logprobdiff_pos","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_logprobdiff_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",31.9003219244598,"auc_logprobdiff_pos","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_logprobdiff_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",4.04156895899018,"auc_logprobdiff_neg","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_logprobdiff_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",29.457158543613,"auc_logprobdiff_neg","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_biggest_change_logprobdiff + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",5.69310338201251,"layer_biggest_change_logprobdiff","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_biggest_change_logprobdiff + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",15.1500084133263,"layer_biggest_change_logprobdiff","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_boosting_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.94275638531713,"auc_boosting_pos","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_boosting_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",14.7383360079291,"auc_boosting_pos","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_boosting_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.00651105540419,"auc_boosting_neg","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_boosting_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",45.8172883136566,"auc_boosting_neg","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_argmax_boosting + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.83303457370073,"layer_argmax_boosting","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_argmax_boosting + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",47.3449053937077,"layer_argmax_boosting","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","twostage_magnitude + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.58053020817238,"twostage_magnitude","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","twostage_magnitude + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",37.6038758408104,"twostage_magnitude","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","twostage_magnitude_latter34 + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.85476056545008,"twostage_magnitude_latter34","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","twostage_magnitude_latter34 + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",35.4817198741611,"twostage_magnitude_latter34","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","twostage_layer + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",3.77751877068181,"twostage_layer","baseline_final","RT","filteredCorrect","gpt2-medium",NA
"critical_fit","twostage_layer + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",4.90334338911771,"twostage_layer","baseline_midpoint","RT","filteredCorrect","gpt2-medium",NA
