"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",9.49184446829634,"auc_entropy","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.835151500174334,"auc_entropy","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.56544092865408,"layer_biggest_change_entropy","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",1.25371506772683,"layer_biggest_change_entropy","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",12.5226952223653,"auc_rank_correct","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.90256993813432,"auc_rank_correct","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",8.99755229868094,"layer_biggest_change_rank_correct","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.433625238976447,"layer_biggest_change_rank_correct","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.207602848652755,"auc_logprob_correct","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.49159691284808,"auc_logprob_correct","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.73169186146549,"layer_biggest_change_logprob_correct","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.66867009096222,"layer_biggest_change_logprob_correct","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","auc_logprobdiff_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",9.83682428834538,"auc_logprobdiff_pos","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","auc_logprobdiff_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.54912450598886,"auc_logprobdiff_pos","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","auc_logprobdiff_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",8.19963702734572,"auc_logprobdiff_neg","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","auc_logprobdiff_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.02087583476066,"auc_logprobdiff_neg","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprobdiff + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",11.2936525087316,"layer_biggest_change_logprobdiff","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprobdiff + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",7.70805603470626,"layer_biggest_change_logprobdiff","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","auc_boosting_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",6.66133993781614,"auc_boosting_pos","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","auc_boosting_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",8.2624868570083,"auc_boosting_pos","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","auc_boosting_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",13.5142820570341,"auc_boosting_neg","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","auc_boosting_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",8.1336264989742,"auc_boosting_neg","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","layer_argmax_boosting + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",20.5664285463013,"layer_argmax_boosting","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","layer_argmax_boosting + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.76991881222455,"layer_argmax_boosting","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","twostage_magnitude + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.02642134714972,"twostage_magnitude","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","twostage_magnitude + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.73281709659136,"twostage_magnitude","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","twostage_magnitude_latter34 + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.39242243969773,"twostage_magnitude_latter34","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","twostage_magnitude_latter34 + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",4.70598088714564,"twostage_magnitude_latter34","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","twostage_layer + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",15.8773550959801,"twostage_layer","baseline_final","RT","filteredCorrect","gpt2-xl",NA
"critical_fit","twostage_layer + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.71998743057463,"twostage_layer","baseline_midpoint","RT","filteredCorrect","gpt2-xl",NA
