"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.54505068771289,"auc_entropy","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",3.16069833871552,"auc_entropy","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.182377824387345,"layer_biggest_change_entropy","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.271720068208879,"layer_biggest_change_entropy","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.8490138365089,"auc_rank_correct","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",2.00444828154616,"auc_rank_correct","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.91679704849503,"layer_biggest_change_rank_correct","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",7.62885195526735,"layer_biggest_change_rank_correct","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.33463694865293,"auc_logprob_correct","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",12.6211593572432,"auc_logprob_correct","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_logprobdiff_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.364771508676426,"auc_logprobdiff_pos","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_logprobdiff_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.73706764292376,"auc_logprobdiff_pos","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_logprobdiff_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.61405746477169,"auc_logprobdiff_neg","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_logprobdiff_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.22245234178718,"auc_logprobdiff_neg","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_biggest_change_logprobdiff + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.543292210069808,"layer_biggest_change_logprobdiff","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_biggest_change_logprobdiff + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",10.8331698771068,"layer_biggest_change_logprobdiff","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_boosting_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.20422788880967,"auc_boosting_pos","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_boosting_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",15.898857924446,"auc_boosting_pos","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_boosting_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.13866464826015,"auc_boosting_neg","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_boosting_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",7.45033803989986,"auc_boosting_neg","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_argmax_boosting + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.17552759100249,"layer_argmax_boosting","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_argmax_boosting + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.56846794288231,"layer_argmax_boosting","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","twostage_magnitude + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.58839206589107,"twostage_magnitude","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","twostage_magnitude + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",2.43458509747495,"twostage_magnitude","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","twostage_magnitude_latter34 + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.62483559333305,"twostage_magnitude_latter34","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","twostage_magnitude_latter34 + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",5.76260614297212,"twostage_magnitude_latter34","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","twostage_layer + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.80265781300852,"twostage_layer","baseline_final","acc_max_time","filteredCorrect","gemma-2-2b",NA
"critical_fit","twostage_layer + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.31987243123547,"twostage_layer","baseline_midpoint","acc_max_time","filteredCorrect","gemma-2-2b",NA
