"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.45257843120964,"auc_entropy","baseline_final","response_correct","all_trials","Falcon3-1B-Base",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",6.72404754613763,"auc_entropy","baseline_midpoint","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.14419641378987,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",3.36720974343478,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.202935912918065,"auc_rank_correct","baseline_final","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.35964796892205,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.837068359754824,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.79733723694795,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.387120966729185,"auc_logprob_correct","baseline_final","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",1.22645006819562,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.50822226764888,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit","layer_biggest_change_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.22688734007664,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","Falcon3-1B-Base",NA
"critical_fit","auc_logprobdiff_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.29804862594403,"auc_logprobdiff_pos","baseline_final","response_correct","all_trials","Falcon3-1B-Base",NA
