"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.09044308417469,"auc_entropy","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.64112808841548,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.30060379561485,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",4.20656429961605,"auc_rank_correct","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.05547094954483,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",3.99727893256653,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.04253929040777,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.57715004239901,"auc_logprob_correct","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",3.90646767684098,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.38604310889048,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.393653533486599,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","auc_logprobdiff_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",4.10888276642288,"auc_logprobdiff_pos","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","auc_logprobdiff_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.5726237475688,"auc_logprobdiff_pos","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","auc_logprobdiff_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.516990586543272,"auc_logprobdiff_neg","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","auc_logprobdiff_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",3.89973323063896,"auc_logprobdiff_neg","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_logprobdiff + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.14593957977263,"layer_biggest_change_logprobdiff","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_logprobdiff + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",3.89524423611749,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","auc_boosting_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",3.46170376214201,"auc_boosting_pos","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","auc_boosting_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.33624282523141,"auc_boosting_pos","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","auc_boosting_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.42330956935854,"auc_boosting_neg","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","auc_boosting_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.430190291836368,"auc_boosting_neg","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","layer_argmax_boosting + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.35696471968805,"layer_argmax_boosting","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","layer_argmax_boosting + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.04609901743265,"layer_argmax_boosting","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","twostage_magnitude + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.848608743889599,"twostage_magnitude","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","twostage_magnitude + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",3.26537503468103,"twostage_magnitude","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","twostage_magnitude_latter34 + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.515243146932789,"twostage_magnitude_latter34","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","twostage_magnitude_latter34 + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",2.46565118741211,"twostage_magnitude_latter34","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","twostage_layer + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.60703508696429,"twostage_layer","baseline_final","response_correct","all_trials","Llama-2-13b-hf",NA
"critical_fit","twostage_layer + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",3.90191527476986,"twostage_layer","baseline_midpoint","response_correct","all_trials","Llama-2-13b-hf",NA
