"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.08619814480119,"auc_entropy","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",1.55887469286881,"auc_entropy","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.99333296714929,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.77484621136551,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.35796782341515,"auc_rank_correct","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.76084023131938,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.36277893966195,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.79153000701535,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.42536736165414,"auc_logprob_correct","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.69250304852653,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.22906805318883,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.12989138746337,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","auc_logprobdiff_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.24980116393613,"auc_logprobdiff_pos","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","auc_logprobdiff_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.23959139617989,"auc_logprobdiff_pos","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","auc_logprobdiff_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.34627026881446,"auc_logprobdiff_neg","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","auc_logprobdiff_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.49055746648497,"auc_logprobdiff_neg","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_logprobdiff + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.62771203996977,"layer_biggest_change_logprobdiff","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","layer_biggest_change_logprobdiff + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.09943730677668,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","auc_boosting_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.1935846392908,"auc_boosting_pos","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","auc_boosting_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.188903994837972,"auc_boosting_pos","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","auc_boosting_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.08683928946391,"auc_boosting_neg","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","auc_boosting_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.68032759886199,"auc_boosting_neg","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","layer_argmax_boosting + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.74647075551991,"layer_argmax_boosting","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","layer_argmax_boosting + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.745083994730635,"layer_argmax_boosting","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","twostage_magnitude + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.25926678355273,"twostage_magnitude","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","twostage_magnitude + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.34732316397759,"twostage_magnitude","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","twostage_magnitude_latter34 + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.1709670273961,"twostage_magnitude_latter34","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","twostage_magnitude_latter34 + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.84124765259651,"twostage_magnitude_latter34","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","twostage_layer + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.77997465616306,"twostage_layer","baseline_final","response_correct","all_trials","OLMo-2-1124-13B",NA
"critical_fit","twostage_layer + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.864801689299611,"twostage_layer","baseline_midpoint","response_correct","all_trials","OLMo-2-1124-13B",NA
