"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",8.62005199529005,"auc_entropy","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.44205892304683,"auc_entropy","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",4.83978072212125,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.98391532681444,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",8.72743358051696,"auc_rank_correct","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.78851873009205,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",8.47868370339819,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.73292576249764,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.72042774204976,"auc_logprob_correct","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.74488952184862,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","auc_logprobdiff_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.441263225687067,"auc_logprobdiff_pos","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","auc_logprobdiff_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.8130980333807,"auc_logprobdiff_pos","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","auc_logprobdiff_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.16977198313998,"auc_logprobdiff_neg","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","auc_logprobdiff_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.70544787603916,"auc_logprobdiff_neg","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","layer_biggest_change_logprobdiff + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",6.25574786154505,"layer_biggest_change_logprobdiff","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","layer_biggest_change_logprobdiff + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.95900501022095,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","auc_boosting_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",5.76476495098257,"auc_boosting_pos","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","auc_boosting_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.56791832385068,"auc_boosting_pos","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","auc_boosting_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.26643756263275,"auc_boosting_neg","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","auc_boosting_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.96632553005793,"auc_boosting_neg","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","layer_argmax_boosting + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.80613077131318,"layer_argmax_boosting","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","layer_argmax_boosting + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.18102232021505,"layer_argmax_boosting","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","twostage_magnitude + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.35766923489751,"twostage_magnitude","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","twostage_magnitude + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.07451411407112,"twostage_magnitude","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","twostage_magnitude_latter34 + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.05429728710624,"twostage_magnitude_latter34","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","twostage_magnitude_latter34 + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.62116285842899,"twostage_magnitude_latter34","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","twostage_layer + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.13332732292645,"twostage_layer","baseline_final","response_correct","all_trials","gemma-2-2b",NA
"critical_fit","twostage_layer + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.76993272620712,"twostage_layer","baseline_midpoint","response_correct","all_trials","gemma-2-2b",NA
