"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","auc_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.51165090862605,"auc_entropy","baseline_final","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"baseline_midpoint_fit","group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","auc_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.97729312804358,"auc_entropy","baseline_midpoint","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","layer_biggest_change_entropy + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.51633986243587,"layer_biggest_change_entropy","baseline_final","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","layer_biggest_change_entropy + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.46210822242256,"layer_biggest_change_entropy","baseline_midpoint","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","auc_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.0994692383651454,"auc_rank_correct","baseline_final","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","auc_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.959438921095625,"auc_rank_correct","baseline_midpoint","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","layer_biggest_change_rank_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.29139967990341,"layer_biggest_change_rank_correct","baseline_final","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","layer_biggest_change_rank_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.40760075913886,"layer_biggest_change_rank_correct","baseline_midpoint","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","auc_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.700212363972241,"auc_logprob_correct","baseline_final","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","auc_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.232625744210054,"auc_logprob_correct","baseline_midpoint","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","layer_biggest_change_logprob_correct + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.88861509301114,"layer_biggest_change_logprob_correct","baseline_final","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","layer_biggest_change_logprob_correct + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.42970805014284,"layer_biggest_change_logprob_correct","baseline_midpoint","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","auc_logprobdiff_pos + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.29297810379148,"auc_logprobdiff_pos","baseline_final","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","auc_logprobdiff_pos + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.131906522510235,"auc_logprobdiff_pos","baseline_midpoint","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","auc_logprobdiff_neg + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.72355087457527,"auc_logprobdiff_neg","baseline_final","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","auc_logprobdiff_neg + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.77501839518618,"auc_logprobdiff_neg","baseline_midpoint","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","layer_biggest_change_logprobdiff + group + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.62210670773311,"layer_biggest_change_logprobdiff","baseline_final","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
"critical_fit","layer_biggest_change_logprobdiff + group + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.74095543254998,"layer_biggest_change_logprobdiff","baseline_midpoint","xpos_flips","filteredCorrect","Llama-3.1-8B",NA
