"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.81064614906381,"auc_entropy","baseline_final","n_backspace","filteredCorrect","gemma-2-27b",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",1.33602091379703,"auc_entropy","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.81401857328206,"layer_biggest_change_entropy","baseline_final","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",1.51137905452697,"layer_biggest_change_entropy","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.42807261973644,"auc_rank_correct","baseline_final","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",2.93915030273138,"auc_rank_correct","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.72835332532986,"layer_biggest_change_rank_correct","baseline_final","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",6.84457912927269,"layer_biggest_change_rank_correct","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.28607295021811,"auc_logprob_correct","baseline_final","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.460982721704568,"auc_logprob_correct","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.46861213142734,"layer_biggest_change_logprob_correct","baseline_final","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.40236256269395,"layer_biggest_change_logprob_correct","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.45898334296976,"auc_logprobdiff_pos","baseline_final","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.41291525563133,"auc_logprobdiff_pos","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",7.10005185444106,"auc_logprobdiff_neg","baseline_final","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",7.10713928844893,"auc_logprobdiff_neg","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.03191060541189,"layer_biggest_change_logprobdiff","baseline_final","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprobdiff + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.41115303886522,"layer_biggest_change_logprobdiff","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.40143463482627,"auc_boosting_pos","baseline_final","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",1.59837876948882,"auc_boosting_pos","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",11.3978101667747,"auc_boosting_neg","baseline_final","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",5.84048354155266,"auc_boosting_neg","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_argmax_boosting + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.81552673970577,"layer_argmax_boosting","baseline_final","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_argmax_boosting + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",4.38229662553294,"layer_argmax_boosting","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_magnitude + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",6.65087333533597,"twostage_magnitude","baseline_final","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_magnitude + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",4.58120767406399,"twostage_magnitude","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_magnitude_latter34 + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",3.68573406673704,"twostage_magnitude_latter34","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_layer + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.3537823138488,"twostage_layer","baseline_midpoint","n_backspace","filteredCorrect","gemma-2-27b",NA
