"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.36549945471381,"auc_entropy","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.96060870506879,"auc_entropy","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.61325765353617,"layer_biggest_change_entropy","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.02825750028944,"layer_biggest_change_entropy","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.31572689536035,"auc_rank_correct","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.31115906195771,"auc_rank_correct","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.67671347014398,"layer_biggest_change_rank_correct","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.22213762658905,"layer_biggest_change_rank_correct","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.4587758871852,"auc_logprob_correct","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.40790625293652,"auc_logprob_correct","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.46786610048781,"auc_logprobdiff_pos","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.27409356566626,"auc_logprobdiff_pos","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.66175065691375,"auc_logprobdiff_neg","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.52995692155214,"auc_logprobdiff_neg","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.46442473000596,"layer_biggest_change_logprobdiff","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_biggest_change_logprobdiff + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.16222904067735,"layer_biggest_change_logprobdiff","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_boosting_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.827827708945932,"auc_boosting_pos","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_boosting_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.42935828111097,"auc_boosting_pos","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_boosting_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.78186352976405,"auc_boosting_neg","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","auc_boosting_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.46508890907315,"auc_boosting_neg","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_argmax_boosting + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.4247634545465,"layer_argmax_boosting","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","layer_argmax_boosting + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.35360846089144,"layer_argmax_boosting","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","twostage_magnitude + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.93668214508444,"twostage_magnitude","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","twostage_magnitude + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.25112500435389,"twostage_magnitude","baseline_midpoint","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
"critical_fit","twostage_magnitude_latter34 + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.59955063674116,"twostage_magnitude_latter34","baseline_final","n_keystrokes_len_norm","filteredCorrect","gemma-2-2b",NA
