"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.38071742599095,"auc_entropy","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.79578467223337,"auc_entropy","baseline_midpoint","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.68090999741275,"layer_biggest_change_entropy","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",4.4092267135411,"layer_biggest_change_entropy","baseline_midpoint","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.83065569530299,"auc_rank_correct","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.39774647871423,"auc_rank_correct","baseline_midpoint","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.92427240609368,"layer_biggest_change_rank_correct","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.52021643680291,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.38791304623942,"auc_logprob_correct","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.04180526066466,"auc_logprob_correct","baseline_midpoint","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.53166955651545,"layer_biggest_change_logprob_correct","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.53692697689121,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.93117229659765,"auc_logprobdiff_pos","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.31491597396757,"auc_logprobdiff_pos","baseline_midpoint","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.77614398436526,"auc_logprobdiff_neg","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.79629558067199,"auc_logprobdiff_neg","baseline_midpoint","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.23155402669795,"layer_biggest_change_logprobdiff","baseline_final","response_correct_gpt4","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprobdiff + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.03919907700515,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct_gpt4","all_trials","gpt2-xl",NA
