"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct_strict","all_trials","Llama-2-70b-hf",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.44591335237942,"auc_entropy","baseline_final","response_correct_strict","all_trials","Llama-2-70b-hf",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct_strict","all_trials","Llama-2-70b-hf",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.98928954279063,"auc_entropy","baseline_midpoint","response_correct_strict","all_trials","Llama-2-70b-hf",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.79591242879496,"layer_biggest_change_entropy","baseline_final","response_correct_strict","all_trials","Llama-2-70b-hf",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.19986855470233,"layer_biggest_change_entropy","baseline_midpoint","response_correct_strict","all_trials","Llama-2-70b-hf",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",4.6447415221171,"auc_rank_correct","baseline_final","response_correct_strict","all_trials","Llama-2-70b-hf",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",6.61206561538052,"auc_rank_correct","baseline_midpoint","response_correct_strict","all_trials","Llama-2-70b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",4.11289507157744,"layer_biggest_change_rank_correct","baseline_final","response_correct_strict","all_trials","Llama-2-70b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",6.52093330339653,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct_strict","all_trials","Llama-2-70b-hf",NA
