"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct_strict","all_trials","gemma-2-27b",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.78022811024812,"auc_entropy","baseline_final","response_correct_strict","all_trials","gemma-2-27b",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct_strict","all_trials","gemma-2-27b",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.29746350154574,"auc_entropy","baseline_midpoint","response_correct_strict","all_trials","gemma-2-27b",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",7.5078465481813,"layer_biggest_change_entropy","baseline_final","response_correct_strict","all_trials","gemma-2-27b",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.734557564884653,"layer_biggest_change_entropy","baseline_midpoint","response_correct_strict","all_trials","gemma-2-27b",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.54179821117668,"auc_rank_correct","baseline_final","response_correct_strict","all_trials","gemma-2-27b",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.28029349021494,"auc_rank_correct","baseline_midpoint","response_correct_strict","all_trials","gemma-2-27b",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.43812550966982,"layer_biggest_change_rank_correct","baseline_final","response_correct_strict","all_trials","gemma-2-27b",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.23098395014995,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct_strict","all_trials","gemma-2-27b",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.7760644678674,"auc_logprob_correct","baseline_midpoint","response_correct_strict","all_trials","gemma-2-27b",NA
