"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.489212708621608,"auc_entropy","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.992667681804505,"auc_entropy","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.79264822456707,"layer_biggest_change_entropy","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.75515742918947,"layer_biggest_change_entropy","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.0102856733763,"auc_rank_correct","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.1354171537705,"auc_rank_correct","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.4430411217777,"layer_biggest_change_rank_correct","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.28921401889011,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",6.66669338397946,"auc_logprob_correct","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",4.76628900422293,"auc_logprob_correct","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.888196289925645,"layer_biggest_change_logprob_correct","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.69661851840465,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.72516691460396,"auc_logprobdiff_pos","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.15800030118044,"auc_logprobdiff_pos","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.30612882335959,"auc_logprobdiff_neg","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",2.35744910380936,"auc_logprobdiff_neg","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.30698597795345,"layer_biggest_change_logprobdiff","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprobdiff + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.73588038436105,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","auc_boosting_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.157313921893774,"auc_boosting_pos","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","auc_boosting_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.40053565741141,"auc_boosting_pos","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","auc_boosting_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.47745149560797,"auc_boosting_neg","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","auc_boosting_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.214086377818376,"auc_boosting_neg","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","layer_argmax_boosting + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.35370763970855,"layer_argmax_boosting","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","layer_argmax_boosting + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.416208038482409,"layer_argmax_boosting","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","twostage_magnitude + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.21682786952351,"twostage_magnitude","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","twostage_magnitude + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.286362104454838,"twostage_magnitude","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","twostage_magnitude_latter34 + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.49907771521271,"twostage_magnitude_latter34","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","twostage_magnitude_latter34 + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.0595005230643437,"twostage_magnitude_latter34","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","twostage_layer + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.93959113207552,"twostage_layer","baseline_final","response_correct_strict","all_trials","gpt2-xl",NA
"critical_fit","twostage_layer + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.30775189154451,"twostage_layer","baseline_midpoint","response_correct_strict","all_trials","gpt2-xl",NA
