"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","auc_entropy + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.45025021370316,"auc_entropy","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.61863573900371,"auc_entropy","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.05350427190092,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.706912853073504,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","auc_rank_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.48937853487814,"auc_rank_correct","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.74516769639831,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.9862437967397,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.46849151487993,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","auc_logprob_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.668071222972912,"auc_logprob_correct","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.65943941861633,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.46770420625944,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.59070296193568,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.54214160779361,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.7236910893206,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.182822285357247,"auc_logprobdiff_neg","baseline_final","rt","filteredCorrect","Llama-3.1-70B",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",2.17958926302765,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredCorrect","Llama-3.1-70B",NA
