"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.17838178822183,"auc_entropy","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.99378725649956,"auc_entropy","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.06944478076969,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.93694361014639,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.496231660129411,"auc_rank_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",4.18758285951117,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.648014442140834,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",1.53966728960927,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.836679494655073,"auc_logprob_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",3.74168100393297,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.637910569285054,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",1.69905702252402,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.79436634268779,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.30739630611299,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.0182451459992308,"auc_logprobdiff_neg","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",5.49834344310636,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",3.76247495872303,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","layer_biggest_change_logprobdiff + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",1.5141319639938,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_boosting_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.32095602070228,"auc_boosting_pos","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
