"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.06770973018683,"auc_entropy","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.04014524890579,"auc_entropy","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.360870902192,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.12059877868421,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",5.27090477189313,"auc_rank_correct","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.42006638468104,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.92187149177767,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.46499489756218,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.46211034201622,"auc_logprob_correct","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.324985611606166,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",7.84549933177675,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","gpt2-medium",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",3.8522507411567,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","gpt2-medium",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.32102495393337,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","gpt2-medium",NA
