"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.1899544874093,"auc_entropy","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.10093624475144,"auc_entropy","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.80332107895418,"layer_biggest_change_entropy","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.18612346998486,"layer_biggest_change_entropy","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.1886222745473,"auc_rank_correct","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.04017551996446,"auc_rank_correct","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.17672632669525,"layer_biggest_change_rank_correct","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.15598805965237,"layer_biggest_change_rank_correct","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.87392299092386,"auc_logprob_correct","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.07653240331649,"auc_logprob_correct","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.15003292031486,"layer_biggest_change_logprob_correct","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.14892321268871,"layer_biggest_change_logprob_correct","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.18912079550597,"auc_logprobdiff_pos","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.63350761510412,"auc_logprobdiff_pos","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.72757415878215,"auc_logprobdiff_neg","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.79969253487025,"auc_logprobdiff_neg","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.88993826639239,"layer_biggest_change_logprobdiff","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","layer_biggest_change_logprobdiff + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.73909449284122,"layer_biggest_change_logprobdiff","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","auc_boosting_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.03164344013328,"auc_boosting_pos","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","auc_boosting_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.15308819523977,"auc_boosting_pos","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","auc_boosting_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.75233863665699,"auc_boosting_neg","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","auc_boosting_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.56703838630096,"auc_boosting_neg","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","layer_argmax_boosting + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.7265207851388,"layer_argmax_boosting","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","layer_argmax_boosting + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.121160066465677,"layer_argmax_boosting","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","twostage_magnitude + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-4.51444741669007,"twostage_magnitude","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","twostage_magnitude + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",1.68615733882802,"twostage_magnitude","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","twostage_magnitude_latter34 + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-4.47777060088714,"twostage_magnitude_latter34","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","twostage_magnitude_latter34 + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",1.55425540559952,"twostage_magnitude_latter34","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","twostage_layer + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-4.46075836209809,"twostage_layer","baseline_final","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit","twostage_layer + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.46224610739318,"twostage_layer","baseline_midpoint","time_stroke_after_last_empty_trial","filteredCorrect","Llama-2-70b-hf",NA
