"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","auc_entropy + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.65661820380728,"auc_entropy","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.10752232542245,"auc_entropy","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.70306472405332,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.33588828658003,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","auc_rank_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.72001433922355,"auc_rank_correct","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.65439903460583,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.71384664625839,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.7035226893056,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","gemma-2-27b",NA
"critical_fit","auc_logprob_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.21919251295526,"auc_logprob_correct","baseline_final","response_correct","all_trials","gemma-2-27b",NA
