"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.85050906989227,"auc_entropy","baseline_final","response_correct","all_trials","gpt2-xl",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.72264626338915,"auc_entropy","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.23993834044359,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.40745091343865,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.32809531678095,"auc_rank_correct","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.45216344899268,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.12788882897462,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.23790802209987,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.7247524021418,"auc_logprob_correct","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.72399214536836,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.76534636943893,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.23407432651902,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.22396191130451,"auc_logprobdiff_pos","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.55537194111184,"auc_logprobdiff_pos","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.06185982921079,"auc_logprobdiff_neg","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.49399661571829,"auc_logprobdiff_neg","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.18516233018909,"layer_biggest_change_logprobdiff","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprobdiff + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.68041535239422,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit","auc_boosting_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.5293472953972,"auc_boosting_pos","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit","auc_boosting_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.3876205182803,"auc_boosting_pos","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit","auc_boosting_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.52696353543183,"auc_boosting_neg","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit","auc_boosting_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.98314235522184,"auc_boosting_neg","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit","layer_argmax_boosting + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.70298807677864,"layer_argmax_boosting","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit","layer_argmax_boosting + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.72237179298213,"layer_argmax_boosting","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit","twostage_magnitude + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.86427631374727,"twostage_magnitude","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit","twostage_magnitude + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.58865984615727,"twostage_magnitude","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit","twostage_magnitude_latter34 + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.87344988642144,"twostage_magnitude_latter34","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit","twostage_magnitude_latter34 + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.53821129839366,"twostage_magnitude_latter34","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
"critical_fit","twostage_layer + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.80397468069691,"twostage_layer","baseline_final","response_correct","all_trials","gpt2-xl",NA
"critical_fit","twostage_layer + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.5316107064175,"twostage_layer","baseline_midpoint","response_correct","all_trials","gpt2-xl",NA
