"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_entropy + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.94398452244548,"auc_entropy","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",2.41190994802423,"auc_entropy","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.14361743776681,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.50400852853818,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_rank_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.0538433233206206,"auc_rank_correct","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",3.30633986731073,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.45608918070775,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",1.94018457229868,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_logprob_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.864675252551592,"auc_logprob_correct","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",2.20971095663731,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.46072914862407,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.183533598451731,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.406681297907085,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.521674854228877,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.00733677801156,"auc_logprobdiff_neg","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.653375918902157,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.95895980176215,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
