"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.1977679996761,"auc_entropy","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",1.27329550673983,"auc_entropy","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.92452966292581,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.32042761317359,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.43480529220858,"auc_rank_correct","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.6817933244987,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.42831865758023,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.90031995881202,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.82666136383477,"auc_logprob_correct","baseline_final","rt","filteredCorrect","Llama-3.1-405B",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.21118896027167,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","Llama-3.1-405B",NA
