"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.33204357641466,"auc_entropy","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.28397052855246,"auc_entropy","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.31296546047452,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.31027356655989,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.79138649611446,"auc_rank_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.85938422498305,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.0203046352705769,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.16101778726318,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.6071187066027,"auc_logprob_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.98187679482669,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.42366267466605,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.30383256457515,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-1124-7B",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.2829201312727,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","OLMo-2-1124-7B",NA
