"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_entropy + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.19872279975652,"auc_entropy","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.40399827596184,"auc_entropy","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.46471481122649,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.21085575197071,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_rank_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.17298676370797,"auc_rank_correct","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.25125457120453,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.36453658638095,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.43554266236401,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprob_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.64517092923063,"auc_logprob_correct","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.0792807262776,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.21595018366099,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.72523455247688,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.49890226147079,"auc_logprobdiff_pos","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.21911425530993,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.43541623974454,"auc_logprobdiff_neg","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.43401517789971,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.0021819368435,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_biggest_change_logprobdiff + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.04534332529715,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_pos + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.83987146173752,"auc_boosting_pos","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.41616928500753,"auc_boosting_pos","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_neg + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.89501406754039,"auc_boosting_neg","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","auc_boosting_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.15773507275571,"auc_boosting_neg","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_argmax_boosting + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.24880051900777,"layer_argmax_boosting","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","layer_argmax_boosting + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-2.99217824718653,"layer_argmax_boosting","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_magnitude + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.09054418914968,"twostage_magnitude","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_magnitude + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.23732782478805,"twostage_magnitude","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_magnitude_latter34 + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-1.45050077841495,"twostage_magnitude_latter34","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_magnitude_latter34 + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.95544709851015,"twostage_magnitude_latter34","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_layer + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-0.22338559010791,"twostage_layer","baseline_final","rt","filteredCorrect","gemma-2-27b",NA
"critical_fit","twostage_layer + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.1485789032613,"twostage_layer","baseline_midpoint","rt","filteredCorrect","gemma-2-27b",NA
