"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",0,"baseline_final","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.86146995941007,"auc_entropy","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",0,"baseline_midpoint","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.30490534105743,"auc_entropy","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",1.67355861860975,"layer_biggest_change_entropy","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.57265213558239,"layer_biggest_change_entropy","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.52432126476938,"auc_rank_correct","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-0.750180150881675,"auc_rank_correct","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.88455495258665,"layer_biggest_change_rank_correct","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-0.352718248054316,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.02952632692242,"auc_logprob_correct","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.73306906676862,"auc_logprob_correct","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-1.61553017035649,"auc_logprobdiff_pos","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.65160959193099,"auc_logprobdiff_pos","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.42140716773594,"auc_logprobdiff_neg","baseline_final","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.88708572670927,"auc_logprobdiff_neg","baseline_midpoint","response_correct","filteredContentEffects","Llama-2-13b-hf",NA
