"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",0,"baseline_final","baseline_final","response_correct","filteredContentEffects","Llama-3.1-70B",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.79518083641074,"auc_entropy","baseline_final","response_correct","filteredContentEffects","Llama-3.1-70B",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",0,"baseline_midpoint","baseline_midpoint","response_correct","filteredContentEffects","Llama-3.1-70B",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.87262410350058,"auc_entropy","baseline_midpoint","response_correct","filteredContentEffects","Llama-3.1-70B",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-0.579418946655949,"layer_biggest_change_entropy","baseline_final","response_correct","filteredContentEffects","Llama-3.1-70B",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.72426920504853,"layer_biggest_change_entropy","baseline_midpoint","response_correct","filteredContentEffects","Llama-3.1-70B",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.59070746521439,"auc_rank_correct","baseline_final","response_correct","filteredContentEffects","Llama-3.1-70B",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.78706322540413,"auc_rank_correct","baseline_midpoint","response_correct","filteredContentEffects","Llama-3.1-70B",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.43057983310098,"layer_biggest_change_rank_correct","baseline_final","response_correct","filteredContentEffects","Llama-3.1-70B",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.36934444523851,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","filteredContentEffects","Llama-3.1-70B",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.83314179827133,"auc_logprob_correct","baseline_final","response_correct","filteredContentEffects","Llama-3.1-70B",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.34112528441895,"auc_logprob_correct","baseline_midpoint","response_correct","filteredContentEffects","Llama-3.1-70B",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.75529340364005,"layer_biggest_change_logprob_correct","baseline_final","response_correct","filteredContentEffects","Llama-3.1-70B",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.70403255028492,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","filteredContentEffects","Llama-3.1-70B",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.76820671254839,"auc_logprobdiff_pos","baseline_final","response_correct","filteredContentEffects","Llama-3.1-70B",NA
