"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",0,"baseline_final","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.44282331251682,"auc_entropy","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",0,"baseline_midpoint","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.47363841948717,"auc_entropy","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-1.58925669123315,"auc_rank_correct","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.47000100390494,"auc_rank_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-1.78951916271117,"layer_biggest_change_rank_correct","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.0830827195964,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-1.57670847431768,"auc_logprob_correct","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-1.67296020025458,"auc_logprob_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.24974101330034,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-1.68555009878867,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-1.75192010385777,"auc_logprobdiff_pos","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.46344747473381,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-1.48065414459441,"auc_logprobdiff_neg","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-0.578601760307151,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.21715629992227,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_biggest_change_logprobdiff + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.31941316102314,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_boosting_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-1.69370379587272,"auc_boosting_pos","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_boosting_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.44851469055112,"auc_boosting_pos","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_boosting_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.36655897987001,"auc_boosting_neg","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_boosting_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.0741639452568,"auc_boosting_neg","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_argmax_boosting + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-1.52017527606472,"layer_argmax_boosting","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_argmax_boosting + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-1.05835162448639,"layer_argmax_boosting","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","twostage_magnitude + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.12339780985681,"twostage_magnitude","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","twostage_magnitude + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.19423577056409,"twostage_magnitude","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","twostage_magnitude_latter34 + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.12339780985664,"twostage_magnitude_latter34","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","twostage_magnitude_latter34 + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.19423577056409,"twostage_magnitude_latter34","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","twostage_layer + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-1.22036929465989,"twostage_layer","baseline_final","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
"critical_fit","twostage_layer + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.36909700959839,"twostage_layer","baseline_midpoint","rt","filteredContentEffectsCorrect","OLMo-2-0325-32B",NA
