"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",0,"baseline_final","baseline_final","rt","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.81660150169313,"auc_entropy","baseline_final","rt","filteredContentEffects","Llama-2-13b-hf",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",0,"baseline_midpoint","baseline_midpoint","rt","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-0.297063031190532,"auc_entropy","baseline_midpoint","rt","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.78412961925454,"layer_biggest_change_entropy","baseline_final","rt","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-1.99271362065622,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.85379624394932,"auc_rank_correct","baseline_final","rt","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",1.21614315092933,"auc_rank_correct","baseline_midpoint","rt","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.52437065235813,"layer_biggest_change_rank_correct","baseline_final","rt","filteredContentEffects","Llama-2-13b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.88592519473002,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredContentEffects","Llama-2-13b-hf",NA
