"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",0,"baseline_final","baseline_final","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-0.488731849593592,"auc_entropy","baseline_final","rt","filteredContentEffects","gemma-2-9b",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",0,"baseline_midpoint","baseline_midpoint","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.72086468631431,"auc_entropy","baseline_midpoint","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.65956256897442,"auc_rank_correct","baseline_final","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.56231918803473,"auc_rank_correct","baseline_midpoint","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-1.12809777928402,"layer_biggest_change_rank_correct","baseline_final","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.88271956764561,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.55751234811652,"auc_logprob_correct","baseline_final","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.69377909989328,"auc_logprob_correct","baseline_midpoint","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.79007265808315,"auc_logprobdiff_pos","baseline_final","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.56988346725353,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.50045470197131,"auc_logprobdiff_neg","baseline_final","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.63344090333658,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.60871554142318,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","layer_biggest_change_logprobdiff + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.88851941330915,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","auc_boosting_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.88378192635389,"auc_boosting_pos","baseline_final","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","auc_boosting_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.5585558766407,"auc_boosting_pos","baseline_midpoint","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","auc_boosting_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.12428367131184,"auc_boosting_neg","baseline_final","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","auc_boosting_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.47572386039263,"auc_boosting_neg","baseline_midpoint","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","layer_argmax_boosting + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.64966720701932,"layer_argmax_boosting","baseline_final","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","layer_argmax_boosting + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.88436992237411,"layer_argmax_boosting","baseline_midpoint","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","twostage_magnitude + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.70853705068225,"twostage_magnitude","baseline_final","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","twostage_magnitude + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.7843260216053,"twostage_magnitude","baseline_midpoint","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","twostage_magnitude_latter34 + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.73851916943903,"twostage_magnitude_latter34","baseline_final","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","twostage_magnitude_latter34 + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.88402718869349,"twostage_magnitude_latter34","baseline_midpoint","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","twostage_layer + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-1.19577150253082,"twostage_layer","baseline_final","rt","filteredContentEffects","gemma-2-9b",NA
"critical_fit","twostage_layer + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.54210287291522,"twostage_layer","baseline_midpoint","rt","filteredContentEffects","gemma-2-9b",NA
