"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",0,"baseline_final","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-0.504628111628392,"auc_entropy","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",0,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-3.15761630047911,"auc_entropy","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-3.20234842379369,"auc_rank_correct","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-3.19872220936753,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-1.44744342878852,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.44119463335738,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-3.00218196631045,"auc_logprob_correct","baseline_final","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-3.0425308513216,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","Llama-2-7b-hf",NA
