"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",0,"baseline_final","baseline_final","rt","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",1.77438532041532,"auc_entropy","baseline_final","rt","filteredCorrect","OLMo-2-0325-32B",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",0,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.50066118791631,"auc_entropy","baseline_midpoint","rt","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-3.17682098802652,"auc_rank_correct","baseline_final","rt","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-3.20186190920714,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-3.14605571078636,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-3.20774501614522,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-0.0795529387746114,"auc_logprob_correct","baseline_final","rt","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-3.18228224749407,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","OLMo-2-0325-32B",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.88591496608319,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","OLMo-2-0325-32B",NA
