"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",0,"baseline_final","baseline_final","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.04862751785066,"auc_entropy","baseline_final","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",0,"baseline_midpoint","baseline_midpoint","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.53356452941694,"auc_entropy","baseline_midpoint","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",1.22787470991369,"auc_rank_correct","baseline_final","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.33020001973955,"auc_rank_correct","baseline_midpoint","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.14523421225982,"layer_biggest_change_rank_correct","baseline_final","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-1.56691326252394,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-1.63980209856516,"auc_logprob_correct","baseline_final","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.89242089292014,"auc_logprob_correct","baseline_midpoint","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-0.732975806544971,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.77299339852664,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-1.45984243600003,"auc_logprobdiff_pos","baseline_final","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-1.78703934261927,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.56530194122109,"auc_logprobdiff_neg","baseline_final","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.99452456346711,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.83416566505423,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_biggest_change_logprobdiff + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-0.885369534786605,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_boosting_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.30426121978292,"auc_boosting_pos","baseline_final","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_boosting_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-1.48112651270606,"auc_boosting_pos","baseline_midpoint","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_boosting_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.98083123240224,"auc_boosting_neg","baseline_final","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","auc_boosting_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.68274025575914,"auc_boosting_neg","baseline_midpoint","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_argmax_boosting + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.33480553481019,"layer_argmax_boosting","baseline_final","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
"critical_fit","layer_argmax_boosting + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.95962101019353,"layer_argmax_boosting","baseline_midpoint","rt","filteredRealisticCorrect","Falcon3-10B-Base",NA
