"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",0,"baseline_final","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.21454949287516,"auc_entropy","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",0,"baseline_midpoint","baseline_midpoint","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.48003601197456,"auc_entropy","baseline_midpoint","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.72307578769687,"layer_biggest_change_entropy","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.99089410881305,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.84872589948407,"auc_rank_correct","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-0.651267319229646,"auc_rank_correct","baseline_midpoint","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-1.48729275041154,"layer_biggest_change_rank_correct","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.44174975159729,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.41760778298493,"auc_logprob_correct","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.9888343660607,"auc_logprob_correct","baseline_midpoint","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.96890994097743,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.88638750832422,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.91275313721155,"auc_logprobdiff_pos","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",0.7276717858947,"auc_logprobdiff_pos","baseline_midpoint","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.69377329688086,"auc_logprobdiff_neg","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.87151366937201,"auc_logprobdiff_neg","baseline_midpoint","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.92970897922254,"layer_biggest_change_logprobdiff","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","layer_biggest_change_logprobdiff + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-1.92709091731689,"layer_biggest_change_logprobdiff","baseline_midpoint","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","auc_boosting_pos + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.71313380057313,"auc_boosting_pos","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","auc_boosting_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-1.43710899966334,"auc_boosting_pos","baseline_midpoint","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","auc_boosting_neg + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.63774023482586,"auc_boosting_neg","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","auc_boosting_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.99680095739279,"auc_boosting_neg","baseline_midpoint","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","layer_argmax_boosting + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.39556494295215,"layer_argmax_boosting","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","layer_argmax_boosting + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.9739302757821,"layer_argmax_boosting","baseline_midpoint","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","twostage_magnitude + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.5371301025682,"twostage_magnitude","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","twostage_magnitude + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.52667694091377,"twostage_magnitude","baseline_midpoint","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","twostage_magnitude_latter34 + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.5371301025682,"twostage_magnitude_latter34","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","twostage_magnitude_latter34 + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | syllogism_name)",-2.52667694091377,"twostage_magnitude_latter34","baseline_midpoint","rt","filteredRealisticCorrect","gpt2-xl",NA
"critical_fit","twostage_layer + output_entropy * output_rank_correct * output_logprob_correct * output_logprobdiff + (1 | syllogism_name)",-2.27373675443232e-13,"twostage_layer","baseline_final","rt","filteredRealisticCorrect","gpt2-xl",NA
