"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","vit_base_patch16_224","silhouette"
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",6.07766250107227,"auc_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","silhouette"
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","silhouette"
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",3.81647016736633,"auc_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","silhouette"
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-2.43843984226976,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","silhouette"
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",-3.24451862374747,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","silhouette"
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-2.78739409338527,"auc_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","silhouette"
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",24.7528721694352,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","silhouette"
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-2.16480972036743,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","silhouette"
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",4.7470421222755,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","silhouette"
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",3.11929753960237,"auc_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","silhouette"
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",35.0595414953921,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","silhouette"
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-3.63322355263244,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","silhouette"
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",1.99676895829725,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","silhouette"
