"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","vit_base_patch16_224","stylized"
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",18.6936332932564,"auc_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","stylized"
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","stylized"
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",275.282918997013,"auc_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","stylized"
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-4.14352151069033,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","stylized"
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",-1.78020125817238,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","stylized"
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-4.03688880393929,"auc_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","stylized"
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",166.584884687245,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","stylized"
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-2.95218372576755,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","stylized"
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",26.2963115058615,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","stylized"
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",3.84352452376925,"auc_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","stylized"
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",70.5900738272808,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","stylized"
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-4.14144069040185,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","stylized"
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",100.002668583724,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","stylized"
