"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","vit_base_patch16_224","uniform-noise"
"critical_fit","auc_entropy + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",121.196363660514,"auc_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","uniform-noise"
"baseline_midpoint_fit","condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","uniform-noise"
"critical_fit","auc_entropy + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",200.913126548576,"auc_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","uniform-noise"
"critical_fit","layer_biggest_change_entropy + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",6.75469056274324,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","uniform-noise"
"critical_fit","layer_biggest_change_entropy + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",13.7150043253846,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","uniform-noise"
"critical_fit","auc_rank_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-3.47769040378535,"auc_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","uniform-noise"
"critical_fit","auc_rank_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",50.9229992570799,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","uniform-noise"
"critical_fit","layer_biggest_change_rank_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-4.26627789111944,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","uniform-noise"
"critical_fit","layer_biggest_change_rank_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",0.514019417295913,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","uniform-noise"
"critical_fit","auc_logprob_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-2.21385448694491,"auc_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","uniform-noise"
"critical_fit","auc_logprob_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",25.5230102714163,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","uniform-noise"
"critical_fit","layer_biggest_change_logprob_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-2.37731173949396,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","uniform-noise"
"critical_fit","layer_biggest_change_logprob_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",8.64454748255321,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","uniform-noise"
