"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",0,"baseline_final","baseline_final","rt","filteredCorrect","vit_base_patch16_224","rotation"
"critical_fit","auc_entropy + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",33.6460137934666,"auc_entropy","baseline_final","rt","filteredCorrect","vit_base_patch16_224","rotation"
"baseline_midpoint_fit","condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","rotation"
"critical_fit","auc_entropy + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",130.322894706983,"auc_entropy","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","rotation"
"critical_fit","layer_biggest_change_entropy + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",2.91049070752717,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","vit_base_patch16_224","rotation"
"critical_fit","layer_biggest_change_entropy + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",42.0993436040731,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","rotation"
"critical_fit","auc_rank_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-3.56256495545182,"auc_rank_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","rotation"
"critical_fit","auc_rank_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",10.6877763243532,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","rotation"
"critical_fit","layer_biggest_change_rank_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-0.524691577873341,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","rotation"
"critical_fit","layer_biggest_change_rank_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",-4.14677374141672,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","rotation"
"critical_fit","auc_logprob_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-1.43993786020303,"auc_logprob_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","rotation"
"critical_fit","auc_logprob_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",12.8308053147171,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","rotation"
"critical_fit","layer_biggest_change_logprob_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-0.698829313387819,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","rotation"
"critical_fit","layer_biggest_change_logprob_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",-4.16572049971597,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","rotation"
