"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",0,"baseline_final","baseline_final","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit","auc_entropy + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",10.6668987394051,"auc_entropy","baseline_final","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"baseline_midpoint_fit","condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit","auc_entropy + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",22.787895941446,"auc_entropy","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit","layer_biggest_change_entropy + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-3.83435510163065,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit","layer_biggest_change_entropy + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",-3.61286725591702,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit","auc_rank_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",37.3676900967781,"auc_rank_correct","baseline_final","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit","auc_rank_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",14.6019900662261,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit","layer_biggest_change_rank_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",29.0957055158128,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit","layer_biggest_change_rank_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",2.45763865215253,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit","auc_logprob_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",19.1339622867423,"auc_logprob_correct","baseline_final","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit","auc_logprob_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",-3.65707861603005,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit","layer_biggest_change_logprob_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-1.14162520211585,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit","layer_biggest_change_logprob_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",0.228587275442351,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
