"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",19,50567.8453154395,50673.4373005702,-25264.9226577198,50529.8453154395,NA,NA,NA,"baseline_final","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,50569.4744570327,50680.623915065,-25264.7372285163,50529.4744570327,0.370858406844491,1,0.542536734306026,"auc_entropy","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"baseline_midpoint_fit",19,50570.1330953088,50675.7250804394,-25266.0665476544,50532.1330953088,NA,NA,NA,"baseline_midpoint","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,50568.0090886849,50679.1585467172,-25264.0045443425,50528.0090886849,4.12400662382424,1,0.042278835608194,"auc_entropy","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,50569.413270499,50680.5627285313,-25264.7066352495,50529.413270499,0.432044940476771,1,0.510987229376312,"layer_biggest_change_entropy","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,50568.1779106374,50679.3273686697,-25264.0889553187,50528.1779106374,3.95518467140209,1,0.0467271908060809,"layer_biggest_change_entropy","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,50568.294448094,50679.4439061263,-25264.147224047,50528.294448094,1.55086734555516,1,0.213007442855976,"auc_rank_correct","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,50569.4586862472,50680.6081442795,-25264.7293431236,50529.4586862472,2.67440906153206,1,0.101973171257328,"auc_rank_correct","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,50567.9196078568,50679.0690658891,-25263.9598039284,50527.9196078568,1.92570758274815,1,0.165228822953372,"layer_biggest_change_rank_correct","baseline_final","AUC","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,50570.6210609791,50681.7705190114,-25265.3105304895,50530.6210609791,1.51203432968032,1,0.218828927962273,"layer_biggest_change_rank_correct","baseline_midpoint","AUC","filteredCorrect","Falcon3-1B-Base",NA
