"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",19,50577.7562239695,50683.3482091002,-25269.8781119847,50539.7562239695,NA,NA,NA,"baseline_final","baseline_final","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50579.5612143249,50690.7106723572,-25269.7806071624,50539.5612143249,0.195009644587117,1,0.658779434162458,"auc_entropy","baseline_final","AUC","filteredCorrect","Llama-2-7b-hf",NA
"baseline_midpoint_fit",19,50575.6450366289,50681.2370217596,-25268.8225183145,50537.6450366289,NA,NA,NA,"baseline_midpoint","baseline_midpoint","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50576.4955821486,50687.6450401809,-25268.2477910743,50536.4955821486,1.14945448037906,1,0.283663375085099,"auc_entropy","baseline_midpoint","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50573.7761399476,50684.9255979799,-25266.8880699738,50533.7761399476,5.98008402190317,1,0.0144683129142519,"layer_biggest_change_entropy","baseline_final","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50571.876019445,50683.0254774773,-25265.9380097225,50531.876019445,5.7690171839422,1,0.016311154213042,"layer_biggest_change_entropy","baseline_midpoint","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50578.8571507204,50690.0066087527,-25269.4285753602,50538.8571507204,0.899073249078356,1,0.343030328706879,"auc_rank_correct","baseline_final","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50577.3038832318,50688.4533412641,-25268.6519416159,50537.3038832318,0.341153397173912,1,0.559164214652305,"auc_rank_correct","baseline_midpoint","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50578.775125358,50689.9245833902,-25269.387562679,50538.775125358,0.981098611533525,1,0.321927727110152,"layer_biggest_change_rank_correct","baseline_final","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50577.6161119698,50688.7655700021,-25268.8080559849,50537.6161119698,0.0289246591346455,1,0.864953111277217,"layer_biggest_change_rank_correct","baseline_midpoint","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50577.5922500726,50688.7417081049,-25268.7961250363,50537.5922500726,2.16397389689519,1,0.141278901153532,"auc_logprob_correct","baseline_final","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50577.6440752642,50688.7935332965,-25268.8220376321,50537.6440752642,0.000961364763497841,1,0.97526484819446,"auc_logprob_correct","baseline_midpoint","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50573.0952394787,50684.244697511,-25266.5476197394,50533.0952394787,6.66098449073615,1,0.00985464575527055,"layer_biggest_change_logprob_correct","baseline_final","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50576.3034316699,50687.4528897022,-25268.151715835,50536.3034316699,1.34160495902324,1,0.246751128686878,"layer_biggest_change_logprob_correct","baseline_midpoint","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50577.8462906041,50688.9957486364,-25268.9231453021,50537.8462906041,1.90993336533575,1,0.166970660732868,"auc_logprobdiff_pos","baseline_final","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50572.7408919193,50683.8903499516,-25266.3704459596,50532.7408919193,4.90414470968244,1,0.0267923166959776,"auc_logprobdiff_pos","baseline_midpoint","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50574.814221957,50685.9636799893,-25267.4071109785,50534.814221957,4.9420020124453,1,0.0262116596463499,"auc_logprobdiff_neg","baseline_final","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50577.2079761834,50688.3574342157,-25268.6039880917,50537.2079761834,0.437060445488896,1,0.508544676135374,"auc_logprobdiff_neg","baseline_midpoint","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50576.6364709017,50687.785928934,-25268.3182354509,50536.6364709017,3.11975306777458,1,0.0773485041172324,"layer_biggest_change_logprobdiff","baseline_final","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50572.7682221897,50683.917680222,-25266.3841110948,50532.7682221897,4.87681443927431,1,0.0272198099916489,"layer_biggest_change_logprobdiff","baseline_midpoint","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50576.4290815905,50687.5785396228,-25268.2145407952,50536.4290815905,3.32714237899927,1,0.0681451775197795,"auc_boosting_pos","baseline_final","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50568.910889494,50680.0603475263,-25264.455444747,50528.910889494,8.73414713495004,1,0.00312305358991295,"auc_boosting_pos","baseline_midpoint","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50579.4508058136,50690.6002638459,-25269.7254029068,50539.4508058136,0.305418155927327,1,0.580505493091501,"auc_boosting_neg","baseline_final","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50571.5324744645,50682.6819324968,-25265.7662372323,50531.5324744645,6.11256216443144,1,0.0134224412079508,"auc_boosting_neg","baseline_midpoint","AUC","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,50579.7188361191,50690.8682941514,-25269.8594180595,50539.7188361191,0.03738785040332,1,0.846677523983938,"layer_argmax_boosting","baseline_final","AUC","filteredCorrect","Llama-2-7b-hf",NA
