"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",19,50566.5411241325,50672.1331092631,-25264.2705620662,50528.5411241325,NA,NA,NA,"baseline_final","baseline_final","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,50567.9457977235,50679.0952557558,-25263.9728988618,50527.9457977235,0.595326408947585,1,0.440366789307254,"auc_entropy","baseline_final","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"baseline_midpoint_fit",19,50571.1746609481,50676.7666460788,-25266.587330474,50533.1746609481,NA,NA,NA,"baseline_midpoint","baseline_midpoint","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,50572.205534224,50683.3549922563,-25266.102767112,50532.205534224,0.969126724092348,1,0.324898067975449,"auc_entropy","baseline_midpoint","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,50568.4539795323,50679.6034375646,-25264.2269897662,50528.4539795323,0.0871446001110598,1,0.767839083515238,"layer_biggest_change_entropy","baseline_final","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,50572.7903455714,50683.9398036037,-25266.3951727857,50532.7903455714,0.384315376722952,1,0.535302720402769,"layer_biggest_change_entropy","baseline_midpoint","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,50567.7732929372,50678.9227509695,-25263.8866464686,50527.7732929372,0.767831195211329,1,0.38088882676846,"auc_rank_correct","baseline_final","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,50568.8858742549,50680.0353322872,-25264.4429371275,50528.8858742549,4.28878669316327,1,0.0383645341629437,"auc_rank_correct","baseline_midpoint","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,50568.0585170436,50679.2079750758,-25264.0292585218,50528.0585170436,0.482607088903023,1,0.487243779689825,"layer_biggest_change_rank_correct","baseline_final","AUC","filteredCorrect","OLMo-2-1124-13B",NA
"critical_fit",20,50570.0327689702,50681.1822270025,-25265.0163844851,50530.0327689702,3.1418919778589,1,0.0763052456524983,"layer_biggest_change_rank_correct","baseline_midpoint","AUC","filteredCorrect","OLMo-2-1124-13B",NA
