"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",19,50566.0360198928,50671.6280050234,-25264.0180099464,50528.0360198928,NA,NA,NA,"baseline_final","baseline_final","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50567.7615366275,50678.9109946598,-25263.8807683138,50527.7615366275,0.274483265216986,1,0.600340092230602,"auc_entropy","baseline_final","AUC","filteredCorrect","gemma-2-2b",NA
"baseline_midpoint_fit",19,50567.8980316523,50673.490016783,-25264.9490158262,50529.8980316523,NA,NA,NA,"baseline_midpoint","baseline_midpoint","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50569.4082300863,50680.5576881186,-25264.7041150432,50529.4082300863,0.489801566000096,1,0.48401583465433,"auc_entropy","baseline_midpoint","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50568.0116883627,50679.161146395,-25264.0058441814,50528.0116883627,0.0243315300176619,1,0.876044314686246,"layer_biggest_change_entropy","baseline_final","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50569.1200918269,50680.2695498592,-25264.5600459135,50529.1200918269,0.777939825427893,1,0.377771955848643,"layer_biggest_change_entropy","baseline_midpoint","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50567.7670797355,50678.9165377678,-25263.8835398678,50527.7670797355,0.268940157242469,1,0.604043611321407,"auc_rank_correct","baseline_final","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50569.6212368981,50680.7706949304,-25264.810618449,50529.6212368981,0.276794754245202,1,0.598809785581704,"auc_rank_correct","baseline_midpoint","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50567.7896855484,50678.9391435807,-25263.8948427742,50527.7896855484,0.246334344403294,1,0.619668087822392,"layer_biggest_change_rank_correct","baseline_final","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50569.8718386008,50681.0212966331,-25264.9359193004,50529.8718386008,0.0261930514971027,1,0.871429746116998,"layer_biggest_change_rank_correct","baseline_midpoint","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50567.9226053583,50679.0720633906,-25263.9613026791,50527.9226053583,0.113414534469484,1,0.736289728487357,"auc_logprob_correct","baseline_final","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50569.430990754,50680.5804487862,-25264.715495377,50529.430990754,0.467040898387495,1,0.494351652698352,"auc_logprob_correct","baseline_midpoint","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50567.9332154272,50679.0826734595,-25263.9666077136,50527.9332154272,0.102804465546797,1,0.748489773603486,"auc_logprobdiff_pos","baseline_final","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50568.52606151,50679.6755195423,-25264.263030755,50528.52606151,1.37197014236153,1,0.241473674239184,"auc_logprobdiff_pos","baseline_midpoint","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50567.9813355546,50679.1307935869,-25263.9906677773,50527.9813355546,0.0546843381453073,1,0.815103895154011,"auc_logprobdiff_neg","baseline_final","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50568.425519798,50679.5749778303,-25264.212759899,50528.425519798,1.47251185429923,1,0.22494979749629,"auc_logprobdiff_neg","baseline_midpoint","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50567.8243119857,50678.973770018,-25263.9121559929,50527.8243119857,0.211707907015807,1,0.645432044848987,"layer_biggest_change_logprobdiff","baseline_final","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50569.8481742288,50680.9976322611,-25264.9240871144,50529.8481742288,0.0498574235389242,1,0.823311553307596,"layer_biggest_change_logprobdiff","baseline_midpoint","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50567.8908028323,50679.0402608646,-25263.9454014162,50527.8908028323,0.145217060417053,1,0.703148663690813,"auc_boosting_pos","baseline_final","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50568.6360932907,50679.785551323,-25264.3180466453,50528.6360932907,1.26193836166931,1,0.261284503857917,"auc_boosting_pos","baseline_midpoint","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50567.9576385113,50679.1070965436,-25263.9788192556,50527.9576385113,0.0783813814778114,1,0.779503014315523,"auc_boosting_neg","baseline_final","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50569.8973989513,50681.0468569836,-25264.9486994757,50529.8973989513,0.000632701019640081,1,0.979932487869792,"auc_boosting_neg","baseline_midpoint","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50567.9167057504,50679.0661637827,-25263.9583528752,50527.9167057504,0.119314142342773,1,0.729779551092917,"layer_argmax_boosting","baseline_final","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50569.3196427732,50680.4691008055,-25264.6598213866,50529.3196427732,0.57838887910475,1,0.446944522672075,"layer_argmax_boosting","baseline_midpoint","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50567.9750570214,50679.1245150537,-25263.9875285107,50527.9750570214,0.0609628713937127,1,0.80498050482105,"twostage_magnitude","baseline_final","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50567.8873373397,50679.036795372,-25263.9436686699,50527.8873373397,2.01069431262295,1,0.156193821010819,"twostage_magnitude","baseline_midpoint","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50567.9848225381,50679.1342805704,-25263.992411269,50527.9848225381,0.051197354667238,1,0.820992732947634,"twostage_magnitude_latter34","baseline_final","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50569.8650458736,50681.0145039059,-25264.9325229368,50529.8650458736,0.0329857787437504,1,0.85588105080679,"twostage_magnitude_latter34","baseline_midpoint","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50567.9984455324,50679.1479035647,-25263.9992227662,50527.9984455324,0.0375743603217416,1,0.846300327853462,"twostage_layer","baseline_final","AUC","filteredCorrect","gemma-2-2b",NA
"critical_fit",20,50568.041276043,50679.1907340753,-25264.0206380215,50528.041276043,1.85675560938398,1,0.172999716910338,"twostage_layer","baseline_midpoint","AUC","filteredCorrect","gemma-2-2b",NA
