"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",19,50565.8698238029,50671.4618089336,-25263.9349119015,50527.8698238029,NA,NA,NA,"baseline_final","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.772442504,50678.9219005363,-25263.886221252,50527.772442504,0.0973812989177532,1,0.754995101142986,"auc_entropy","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"baseline_midpoint_fit",19,50565.8494299519,50671.4414150826,-25263.924714976,50527.8494299519,NA,NA,NA,"baseline_midpoint","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8487717995,50678.9982298318,-25263.9243858998,50527.8487717995,0.000658152384858113,1,0.979532930957974,"auc_entropy","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.866708657,50679.0161666893,-25263.9333543285,50527.866708657,0.00311514588247519,1,0.95549038668561,"layer_biggest_change_entropy","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8453334048,50678.9947914371,-25263.9226667024,50527.8453334048,0.00409654710529139,1,0.948966823534645,"layer_biggest_change_entropy","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8659922549,50679.0154502872,-25263.9329961274,50527.8659922549,0.00383154803421348,1,0.950642866103173,"auc_rank_correct","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8024065718,50678.9518646041,-25263.9012032859,50527.8024065718,0.0470233800879214,1,0.828326219268652,"auc_rank_correct","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8679968644,50679.0174548967,-25263.9339984322,50527.8679968644,0.00182693856186233,1,0.965906639498034,"layer_biggest_change_rank_correct","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8009758258,50678.9504338581,-25263.9004879129,50527.8009758258,0.0484541261539562,1,0.825775378551886,"layer_biggest_change_rank_correct","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8681902771,50679.0176483094,-25263.9340951386,50527.8681902771,0.00163352578238118,1,0.96776075723501,"auc_logprob_correct","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8146527143,50678.9641107466,-25263.9073263572,50527.8146527143,0.0347772375680506,1,0.852063216489236,"auc_logprob_correct","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.7977133717,50678.947171404,-25263.8988566858,50527.7977133717,0.0721104312615353,1,0.788288418985561,"layer_biggest_change_logprob_correct","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.810520082,50678.9599781143,-25263.905260041,50527.810520082,0.0389098699597525,1,0.84362732788297,"layer_biggest_change_logprob_correct","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8621800931,50679.0116381254,-25263.9310900465,50527.8621800931,0.0076437098250608,1,0.930331065423809,"auc_logprobdiff_pos","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8157965708,50678.9652546031,-25263.9078982854,50527.8157965708,0.0336333811355871,1,0.854488836493148,"auc_logprobdiff_pos","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.781463583,50678.9309216153,-25263.8907317915,50527.781463583,0.0883602198955487,1,0.766272239117856,"auc_logprobdiff_neg","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.7881381413,50678.9375961736,-25263.8940690707,50527.7881381413,0.0612918105762219,1,0.804465709372692,"auc_logprobdiff_neg","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.7565515986,50678.9060096309,-25263.8782757993,50527.7565515986,0.113272204311215,1,0.736449094887192,"layer_biggest_change_logprobdiff","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8137623704,50678.9632204027,-25263.9068811852,50527.8137623704,0.0356675815273775,1,0.850203619725906,"layer_biggest_change_logprobdiff","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8516750339,50679.0011330662,-25263.925837517,50527.8516750339,0.0181487689987989,1,0.89283534140639,"auc_boosting_pos","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.811715705,50678.9611737373,-25263.9058578525,50527.811715705,0.0377142469369574,1,0.846018059344377,"auc_boosting_pos","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.7824677731,50678.9319258054,-25263.8912338865,50527.7824677731,0.087356029835064,1,0.767565716238529,"auc_boosting_neg","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8460770757,50678.995535108,-25263.9230385378,50527.8460770757,0.0033528762505739,1,0.95382507605887,"auc_boosting_neg","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8455412677,50678.9949993,-25263.9227706339,50527.8455412677,0.0242825352106593,1,0.876168170385683,"layer_argmax_boosting","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8287170366,50678.9781750689,-25263.9143585183,50527.8287170366,0.0207129153350252,1,0.885563782479084,"layer_argmax_boosting","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.7800033874,50678.9294614197,-25263.8900016937,50527.7800033874,0.0898204155091662,1,0.764405584337199,"twostage_magnitude","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8393606035,50678.9888186357,-25263.9196803017,50527.8393606035,0.0100693484637304,1,0.920069525323322,"twostage_magnitude","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.7753867189,50678.9248447512,-25263.8876933595,50527.7753867189,0.0944370840006741,1,0.758610337459438,"twostage_magnitude_latter34","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8365003874,50678.9859584197,-25263.9182501937,50527.8365003874,0.0129295645383536,1,0.909469077895765,"twostage_magnitude_latter34","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.7634627263,50678.9129207586,-25263.8817313631,50527.7634627263,0.106361076657777,1,0.744325652386358,"twostage_layer","baseline_final","AUC","filteredCorrect","gpt2-medium",NA
"critical_fit",20,50567.8363918803,50678.9858499126,-25263.9181959402,50527.8363918803,0.0130380716145737,1,0.909091637418964,"twostage_layer","baseline_midpoint","AUC","filteredCorrect","gpt2-medium",NA
