"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",19,50570.1022054011,50675.6941905318,-25266.0511027005,50532.1022054011,NA,NA,NA,"baseline_final","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50571.5549269335,50682.7043849658,-25265.7774634668,50531.5549269335,0.547278467565775,1,0.4594318479267,"auc_entropy","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"baseline_midpoint_fit",19,50570.1511242988,50675.7431094295,-25266.0755621494,50532.1511242988,NA,NA,NA,"baseline_midpoint","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50569.5654485916,50680.7149066239,-25264.7827242958,50529.5654485916,2.58567570720334,1,0.107834381509494,"auc_entropy","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50572.0779978389,50683.2274558712,-25266.0389989194,50532.0779978389,0.0242075622372795,1,0.876357945235625,"layer_biggest_change_entropy","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50568.4254655484,50679.5749235807,-25264.2127327742,50528.4254655484,3.72565875045257,1,0.053582487950018,"layer_biggest_change_entropy","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50569.9679591133,50681.1174171456,-25264.9839795567,50529.9679591133,2.13424628778739,1,0.144041244790144,"auc_rank_correct","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50569.5321120164,50680.6815700487,-25264.7660560082,50529.5321120164,2.61901228241913,1,0.105590148245756,"auc_rank_correct","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50569.9264234382,50681.0758814705,-25264.9632117191,50529.9264234382,2.17578196289105,1,0.140198239366703,"layer_biggest_change_rank_correct","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50571.7421523721,50682.8916104044,-25265.871076186,50531.7421523721,0.40897192673583,1,0.522491776447183,"layer_biggest_change_rank_correct","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50571.4864500244,50682.6359080567,-25265.7432250122,50531.4864500244,0.615755376733432,1,0.432629001969081,"auc_logprob_correct","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50568.7328665192,50679.8823245515,-25264.3664332596,50528.7328665192,3.41825777963095,1,0.0644790276787583,"auc_logprob_correct","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50571.5107560393,50682.6602140716,-25265.7553780196,50531.5107560393,0.591449361811101,1,0.441859206156829,"layer_biggest_change_logprob_correct","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50567.8401503092,50678.9896083415,-25263.9200751546,50527.8401503092,4.3109739896463,1,0.0378672750633773,"layer_biggest_change_logprob_correct","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50568.0340849512,50679.1835429835,-25264.0170424756,50528.0340849512,4.06812044991239,1,0.043699873833163,"auc_logprobdiff_pos","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50569.5192075444,50680.6686655767,-25264.7596037722,50529.5192075444,2.63191675443522,1,0.104735206530891,"auc_logprobdiff_pos","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50568.1446974396,50679.2941554719,-25264.0723487198,50528.1446974396,3.95750796147331,1,0.0466627357921387,"auc_logprobdiff_neg","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50568.0861637784,50679.2356218107,-25264.0430818892,50528.0861637784,4.06496052041621,1,0.0437817084281716,"auc_logprobdiff_neg","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50568.5253755857,50679.674833618,-25264.2626877928,50528.5253755857,3.57682981543621,1,0.0585908649747759,"layer_biggest_change_logprobdiff","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50571.6747934428,50682.8242514751,-25265.8373967214,50531.6747934428,0.476330855992273,1,0.490089005542182,"layer_biggest_change_logprobdiff","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50568.5761758513,50679.7256338836,-25264.2880879256,50528.5761758513,3.5260295498083,1,0.0604122942312989,"auc_boosting_pos","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50570.6975882977,50681.84704633,-25265.3487941488,50530.6975882977,1.45353600114322,1,0.227961417630209,"auc_boosting_pos","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50568.8085058162,50679.9579638485,-25264.4042529081,50528.8085058162,3.29369958486495,1,0.0695461568478326,"auc_boosting_neg","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50571.9209779524,50683.0704359847,-25265.9604889762,50531.9209779524,0.230146346373658,1,0.631415336096806,"auc_boosting_neg","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50569.4006070827,50680.550065115,-25264.7003035414,50529.4006070827,2.70159831839555,1,0.100247702462539,"layer_argmax_boosting","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50568.0186520026,50679.1681100349,-25264.0093260013,50528.0186520026,4.13247229617991,1,0.0420678495243519,"layer_argmax_boosting","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50572.043745225,50683.1932032573,-25266.0218726125,50532.043745225,0.0584601761365775,1,0.808946458063991,"twostage_magnitude","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50570.0411128817,50681.190570914,-25265.0205564409,50530.0411128817,2.1100114170913,1,0.14633822579414,"twostage_magnitude","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50569.135323601,50680.2847816333,-25264.5676618005,50529.135323601,2.96688180006458,1,0.0849855214194097,"twostage_magnitude_latter34","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50570.2033883248,50681.3528463571,-25265.1016941624,50530.2033883248,1.947735974034,1,0.162831030123593,"twostage_magnitude_latter34","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50568.2368285631,50679.3862865954,-25264.1184142815,50528.2368285631,3.86537683803181,1,0.0492921233366273,"twostage_layer","baseline_final","AUC","filteredCorrect","gpt2-xl",NA
"critical_fit",20,50567.8589605564,50679.0084185887,-25263.9294802782,50527.8589605564,4.29216374240787,1,0.0382884086926463,"twostage_layer","baseline_midpoint","AUC","filteredCorrect","gpt2-xl",NA
