"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",19,50575.4398853555,50681.0318704861,-25268.7199426777,50537.4398853555,NA,NA,NA,"baseline_final","baseline_final","AUC","filteredCorrect","gpt2",NA
"critical_fit",20,50568.9815295523,50680.1309875846,-25264.4907647762,50528.9815295523,8.45835580313724,1,0.00363370187599438,"auc_entropy","baseline_final","AUC","filteredCorrect","gpt2",NA
"baseline_midpoint_fit",19,50570.516421792,50676.1084069227,-25266.258210896,50532.516421792,NA,NA,NA,"baseline_midpoint","baseline_midpoint","AUC","filteredCorrect","gpt2",NA
"critical_fit",20,50569.4436064629,50680.5930644952,-25264.7218032315,50529.4436064629,3.07281532911293,1,0.0796114896265145,"auc_entropy","baseline_midpoint","AUC","filteredCorrect","gpt2",NA
"critical_fit",20,50567.9517526315,50679.1012106638,-25263.9758763158,50527.9517526315,9.48813272391999,1,0.00206805190176669,"layer_biggest_change_entropy","baseline_final","AUC","filteredCorrect","gpt2",NA
"critical_fit",20,50570.3651711045,50681.5146291368,-25265.1825855522,50530.3651711045,2.15125068755879,1,0.142453805097079,"layer_biggest_change_entropy","baseline_midpoint","AUC","filteredCorrect","gpt2",NA
"critical_fit",20,50577.4274346157,50688.576892648,-25268.7137173078,50537.4274346157,0.0124507397922571,1,0.911154144593635,"auc_rank_correct","baseline_final","AUC","filteredCorrect","gpt2",NA
"critical_fit",20,50568.8335121751,50679.9829702074,-25264.4167560876,50528.8335121751,3.68290961690218,1,0.0549728396823117,"auc_rank_correct","baseline_midpoint","AUC","filteredCorrect","gpt2",NA
"critical_fit",20,50577.4049107644,50688.5543687966,-25268.7024553822,50537.4049107644,0.0349745911007631,1,0.851648912222573,"layer_biggest_change_rank_correct","baseline_final","AUC","filteredCorrect","gpt2",NA
"critical_fit",20,50572.1341343913,50683.2835924236,-25266.0670671957,50532.1341343913,0.382287400745554,1,0.536381593421919,"layer_biggest_change_rank_correct","baseline_midpoint","AUC","filteredCorrect","gpt2",NA
"critical_fit",20,50577.4296252949,50688.5790833272,-25268.7148126474,50537.4296252949,0.0102600605750922,1,0.919318700654091,"auc_logprob_correct","baseline_final","AUC","filteredCorrect","gpt2",NA
