"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",19,26800.721855971,26906.3138411016,-13381.3609279855,26762.721855971,NA,NA,NA,"baseline_final","baseline_final","MAD","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,26802.5937938173,26913.7432518496,-13381.2968969087,26762.5937938173,0.128062153620704,1,0.720449786559783,"auc_entropy","baseline_final","MAD","filteredCorrect","Falcon3-1B-Base",NA
"baseline_midpoint_fit",19,26806.3041787488,26911.8961638794,-13384.1520893744,26768.3041787488,NA,NA,NA,"baseline_midpoint","baseline_midpoint","MAD","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,26801.8506835968,26913.0001416291,-13380.9253417984,26761.8506835968,6.45349515198905,1,0.0110734291137274,"auc_entropy","baseline_midpoint","MAD","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,26802.5688390242,26913.7182970565,-13381.2844195121,26762.5688390242,0.153016946736898,1,0.695668768398883,"layer_biggest_change_entropy","baseline_final","MAD","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,26801.1097026612,26912.2591606935,-13380.5548513306,26761.1097026612,7.19447608760674,1,0.00731283381682748,"layer_biggest_change_entropy","baseline_midpoint","MAD","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,26801.4947630784,26912.6442211107,-13380.7473815392,26761.4947630784,1.22709289259001,1,0.267973147070908,"auc_rank_correct","baseline_final","MAD","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,26802.0917825122,26913.2412405445,-13381.0458912561,26762.0917825122,6.21239623655492,1,0.0126858796550283,"auc_rank_correct","baseline_midpoint","MAD","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,26801.2090421996,26912.3585002319,-13380.6045210998,26761.2090421996,1.51281377134001,1,0.218710231385792,"layer_biggest_change_rank_correct","baseline_final","MAD","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,26804.0304066076,26915.1798646399,-13382.0152033038,26764.0304066076,4.27377214117223,1,0.0387049182961229,"layer_biggest_change_rank_correct","baseline_midpoint","MAD","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,26801.9522604875,26913.1017185198,-13380.9761302437,26761.9522604875,0.769595483474404,1,0.380342221839466,"auc_logprob_correct","baseline_final","MAD","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,26802.5476463265,26913.6971043588,-13381.2738231633,26762.5476463265,5.75653242223416,1,0.0164274609479514,"auc_logprob_correct","baseline_midpoint","MAD","filteredCorrect","Falcon3-1B-Base",NA
"critical_fit",20,26802.3243317489,26913.4737897812,-13381.1621658744,26762.3243317489,0.397524222098582,1,0.528370629375175,"layer_biggest_change_logprob_correct","baseline_final","MAD","filteredCorrect","Falcon3-1B-Base",NA
