"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",19,26815.3251384852,26920.9171236159,-13388.6625692426,26777.3251384852,NA,NA,NA,"baseline_final","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,26817.2310292567,26928.380487289,-13388.6155146283,26777.2310292567,0.0941092285247578,1,0.759016712946464,"auc_entropy","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"baseline_midpoint_fit",19,26818.3052407795,26923.8972259102,-13390.1526203897,26780.3052407795,NA,NA,NA,"baseline_midpoint","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,26816.0779335616,26927.2273915939,-13388.0389667808,26776.0779335616,4.22730721789776,1,0.0397785028965873,"auc_entropy","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,26810.3560228233,26921.5054808556,-13385.1780114116,26770.3560228233,6.96911566193739,1,0.00829284704559645,"layer_biggest_change_entropy","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,26805.5588597467,26916.708317779,-13382.7794298734,26765.5588597467,14.746381032739,1,0.000122983354853661,"layer_biggest_change_entropy","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,26814.8954174361,26926.0448754684,-13387.4477087181,26774.8954174361,2.4297210490804,1,0.119054082540651,"auc_rank_correct","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,26819.6982911356,26930.8477491679,-13389.8491455678,26779.6982911356,0.606949643883127,1,0.435938640201225,"auc_rank_correct","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,26814.2414152178,26925.3908732501,-13387.1207076089,26774.2414152178,3.08372326739482,1,0.0790793044104901,"layer_biggest_change_rank_correct","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,26820.2637407167,26931.413198749,-13390.1318703584,26780.2637407167,0.0415000627544941,1,0.838575718047504,"layer_biggest_change_rank_correct","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,26813.2515734918,26924.4010315241,-13386.6257867459,26773.2515734918,4.07356499341404,1,0.0435592505170399,"auc_logprob_correct","baseline_final","MAD","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",20,26820.2615876711,26931.4110457034,-13390.1307938356,26780.2615876711,0.0436531083760201,1,0.834500337059806,"auc_logprob_correct","baseline_midpoint","MAD","filteredCorrect","Llama-2-7b-hf",NA
