"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",19,26801.488927844,26907.0809129747,-13381.744463922,26763.488927844,NA,NA,NA,"baseline_final","baseline_final","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26803.3945957311,26914.5440537634,-13381.6972978656,26763.3945957311,0.0943321128834214,1,0.758740364590991,"auc_entropy","baseline_final","MAD","filteredCorrect","Llama-3.1-70B",NA
"baseline_midpoint_fit",19,26801.0878734119,26906.6798585425,-13381.5439367059,26763.0878734119,NA,NA,NA,"baseline_midpoint","baseline_midpoint","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26803.0690301746,26914.2184882069,-13381.5345150873,26763.0690301746,0.0188432372415264,1,0.890816851745744,"auc_entropy","baseline_midpoint","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26801.7802627069,26912.9297207392,-13380.8901313534,26761.7802627069,1.70866513712099,1,0.191158653760878,"layer_biggest_change_entropy","baseline_final","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26802.3683599383,26913.5178179706,-13381.1841799691,26762.3683599383,0.719513473603001,1,0.396303545000811,"layer_biggest_change_entropy","baseline_midpoint","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26803.3704792571,26914.5199372894,-13381.6852396285,26763.3704792571,0.118448586923478,1,0.730723251352186,"auc_rank_correct","baseline_final","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26801.7283525944,26912.8778106267,-13380.8641762972,26761.7283525944,1.35952081747018,1,0.243620545357933,"auc_rank_correct","baseline_midpoint","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26803.4688166924,26914.6182747247,-13381.7344083462,26763.4688166924,0.0201111515998491,1,0.887227089740617,"layer_biggest_change_rank_correct","baseline_final","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26802.2260291594,26913.3754871917,-13381.1130145797,26762.2260291594,0.861844252442097,1,0.353223104830076,"layer_biggest_change_rank_correct","baseline_midpoint","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26803.408107961,26914.5575659933,-13381.7040539805,26763.408107961,0.0808198830309266,1,0.776189390320628,"auc_logprob_correct","baseline_final","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26803.0721433232,26914.2216013555,-13381.5360716616,26763.0721433232,0.0157300886967278,1,0.900191332206455,"auc_logprob_correct","baseline_midpoint","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26803.253063193,26914.4025212253,-13381.6265315965,26763.253063193,0.235864651003794,1,0.627208967179742,"layer_biggest_change_logprob_correct","baseline_final","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26801.3953604508,26912.5448184831,-13380.6976802254,26761.3953604508,1.69251296102448,1,0.193270036613726,"layer_biggest_change_logprob_correct","baseline_midpoint","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26803.3268711432,26914.4763291755,-13381.6634355716,26763.3268711432,0.162056700817629,1,0.687269978493282,"auc_logprobdiff_pos","baseline_final","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26802.9205456957,26914.070003728,-13381.4602728478,26762.9205456957,0.167327716200816,1,0.682497753404779,"auc_logprobdiff_pos","baseline_midpoint","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26802.7638192309,26913.9132772632,-13381.3819096155,26762.7638192309,0.725108613078191,1,0.3944732868339,"auc_logprobdiff_neg","baseline_final","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26802.7571498524,26913.9066078847,-13381.3785749262,26762.7571498524,0.330723559502076,1,0.565233340333999,"auc_logprobdiff_neg","baseline_midpoint","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26802.3856430668,26913.5351010991,-13381.1928215334,26762.3856430668,1.10328477718213,1,0.293546361528616,"layer_biggest_change_logprobdiff","baseline_final","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26801.0821613706,26912.2316194029,-13380.5410806853,26761.0821613706,2.00571204125299,1,0.156707696789724,"layer_biggest_change_logprobdiff","baseline_midpoint","MAD","filteredCorrect","Llama-3.1-70B",NA
"critical_fit",20,26803.1747330996,26914.3241911319,-13381.5873665498,26763.1747330996,0.314194744434644,1,0.575117457573784,"auc_boosting_pos","baseline_final","MAD","filteredCorrect","Llama-3.1-70B",NA
